Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,39550,39750,38400,38500,56182,-0.033877039,39000,38335,36230,34744.16667,36463.33333,0,0
2017-01-03,38400,39300,38100,39100,65800,0.015584416,39410,38580,36560,34787.5,36463.33333,0,1
2017-01-04,38800,38850,37800,38350,117113,-0.019181586,39200,38670,36842.5,34813.33333,36461.25,0,0
2017-01-05,38450,38600,37450,38000,88289,-0.009126467,38760,38565,37087.5,34830,36450.41667,0,0
2017-01-06,38050,38400,37200,38100,76409,0.002631579,38410,38605,37302.5,34850,36438.75,0,0
2017-01-09,37650,38100,37350,37800,44589,-0.007874016,38270,38635,37500,34850.83333,36428.75,0,0
2017-01-10,37800,39200,37800,38850,113182,0.027777778,38220,38815,37707.5,34866.66667,36432.08333,0,0
2017-01-11,38850,39050,38350,38350,51902,-0.012870013,38220,38710,37912.5,34880,36434.58333,0,0
2017-01-12,38400,39650,38400,38700,74348,0.009126467,38360,38560,38102.5,34909.16667,36429.58333,0,0
2017-01-13,38600,39050,37750,38200,52873,-0.012919897,38380,38395,38240,34941.66667,36419.58333,0,0
2017-01-16,38200,38300,37300,37750,39319,-0.011780105,38370,38320,38327.5,34975.83333,36406.66667,0,0
2017-01-17,37300,37800,37250,37300,50578,-0.01192053,38060,38140,38360,34990.83333,36397.91667,0,0
2017-01-18,37400,37650,36350,37050,91641,-0.006702413,37800,38010,38340,35010,36387.5,0,0
2017-01-19,37100,37450,36800,37100,37235,0.001349528,37480,37920,38242.5,35036.66667,36376.66667,0,0
2017-01-20,36850,37400,36800,37250,22703,0.004043127,37290,37835,38220,35049.16667,36372.91667,1,2
2017-01-23,37250,38700,37050,38300,77463,0.028187919,37400,37885,38260,35085.83333,36377.08333,0,0
2017-01-24,38000,38050,37350,37350,93430,-0.024804178,37410,37735,38275,35116.66667,36382.5,0,0
2017-01-25,37350,37850,36850,37600,54898,0.00669344,37520,37660,38185,35144.16667,36385,1,1
2017-01-26,37600,38150,37300,37800,34501,0.005319149,37660,37570,38065,35232.5,36389.16667,0,0
2017-01-31,37850,38650,37750,38650,45965,0.022486772,37940,37615,38005,35329.16667,36392.08333,0,0
2017-02-01,38650,39300,38400,39300,64384,0.016817594,38140,37770,38045,35443.33333,36386.66667,0,0
2017-02-02,40300,40700,38650,39300,145819,0,38530,37970,38055,35557.5,36379.58333,1,7
2017-02-03,39550,40200,39000,39150,64861,-0.003816794,38840,38180,38095,35666.66667,36377.08333,1,7
2017-02-06,39100,40300,39000,40300,133748,0.029374202,39340,38500,38210,35816.66667,36379.58333,0,0
2017-02-07,40400,40500,39500,40300,70037,0,39670,38805,38320,35945,36387.91667,0,0
2017-02-08,40450,40450,39200,39900,53384,-0.009925558,39790,38965,38425,36073.33333,36391.25,0,0
2017-02-09,40100,40100,39450,39950,37800,0.001253133,39920,39225,38480,36195.83333,36390.41667,0,0
2017-02-10,40000,40350,39750,40000,43688,0.001251564,40090,39465,38562.5,36322.5,36380.41667,0,0
2017-02-13,40000,40200,39550,39900,31107,-0.0025,40010,39675,38622.5,36430.83333,36367.08333,0,0
2017-02-14,40000,40000,38950,39750,61618,-0.003759398,39900,39785,38700,36538.33333,36360.83333,0,0
2017-02-15,39750,39900,39150,39550,44958,-0.005031447,39830,39810,38790,36660,36354.58333,0,0
2017-02-16,39550,39550,38950,39400,31922,-0.003792668,39720,39820,38895,36790.83333,36352.91667,0,0
2017-02-17,38950,39650,38900,39350,26200,-0.001269036,39590,39840,39010,36930,36355.83333,0,0
2017-02-20,39350,39550,38750,38950,33701,-0.010165184,39400,39705,39102.5,37060,36355.83333,0,0
2017-02-21,39300,41450,39300,41300,256106,0.060333761,39710,39805,39305,37242.5,36379.58333,0,0
2017-02-22,41950,42500,41000,41900,205705,0.014527845,40180,40005,39485,37417.5,36419.58333,0,0
2017-02-23,41900,42250,41650,41850,82407,-0.001193317,40670,40195,39710,37590.83333,36455.41667,0,1
2017-02-24,42000,43100,41750,42400,153273,0.013142174,41280,40435,39950,37764.16667,36494.16667,0,0
2017-02-27,42500,43750,41400,41900,134584,-0.011792453,41870,40635,40155,37933.33333,36523.75,0,0
2017-02-28,42000,42100,41050,41650,64072,-0.005966587,41940,40825,40305,38081.66667,36552.08333,0,0
2017-03-02,41750,42800,40950,42000,89406,0.008403361,41960,41070,40440,38238.33333,36585.83333,0,0
2017-03-03,41600,41950,40400,40750,83019,-0.029761905,41740,41205,40512.5,38375.83333,36611.25,0,0
2017-03-06,40500,40650,39400,39950,79211,-0.019631902,41250,41265,40552.5,38496.66667,36638.33333,0,0
2017-03-07,40100,40150,39250,40150,48818,0.005006258,40900,41385,40545,38614.16667,36667.5,0,0
2017-03-08,40100,40300,39500,39500,32758,-0.01618929,40470,41205,40505,38709.16667,36691.25,0,0
2017-03-09,39400,39900,38900,39300,35602,-0.005063291,39930,40945,40475,38800,36721.25,1,2
2017-03-10,39500,40200,39000,40100,50563,0.020356234,39800,40770,40482.5,38890,36756.66667,0,0
2017-03-13,40000,40300,39600,39950,34816,-0.003740648,39800,40525,40480,38985,36783.75,0,0
2017-03-14,40000,40000,38500,38600,80173,-0.03379224,39490,40195,40415,39046.66667,36796.25,1,1
2017-03-15,38600,38900,37950,38400,63971,-0.005181347,39270,39870,40347.5,39095.83333,36809.16667,1,1
2017-03-16,38400,39050,38400,38750,37891,0.009114583,39160,39545,40307.5,39141.66667,36823.33333,0,0
2017-03-17,38900,38900,38100,38600,27132,-0.003870968,38860,39330,40267.5,39174.16667,36830,0,0
2017-03-20,38300,38500,37850,38150,33340,-0.011658031,38500,39150,40207.5,39185.83333,36840.83333,0,0
2017-03-21,38300,38600,37900,38100,27257,-0.001310616,38400,38945,40165,39170,36852.5,0,0
2017-03-22,38100,38100,37000,37250,83818,-0.022309711,38170,38720,39962.5,39162.5,36860,0,0
2017-03-23,37400,38350,37400,38250,36713,0.026845638,38070,38615,39780,39175,36873.75,0,0
2017-03-24,38300,39150,38100,38100,48245,-0.003921569,37970,38415,39592.5,39192.5,36888.33333,1,2
2017-03-27,38600,39050,37900,38850,38376,0.019685039,38110,38305,39415,39183.33333,36903.33333,0,0
2017-03-28,38650,39000,38450,38950,19240,0.002574003,38280,38340,39267.5,39162.5,36918.33333,0,0
2017-03-29,39050,39600,38550,39450,42974,0.01283697,38720,38445,39157.5,39155.83333,36936.25,0,0
2017-03-30,39200,39700,38800,38800,21533,-0.016476553,38830,38450,38997.5,39160.83333,36952.5,0,0
2017-03-31,38700,39650,38550,39500,42749,0.018041237,39110,38540,38935,39167.5,36977.5,0,0
2017-04-03,39100,39700,39100,39600,27186,0.002531646,39260,38685,38917.5,39188.33333,37000.83333,0,0
2017-04-04,39700,39750,38850,39450,32561,-0.003787879,39360,38820,38882.5,39212.5,37021.25,0,0
2017-04-05,39600,40700,39350,40550,69481,0.027883397,39580,39150,38935,39253.33333,37051.66667,0,0
2017-04-06,40600,40950,39850,40950,55857,0.009864365,40010,39420,39017.5,39305.83333,37078.33333,0,0
2017-04-07,40850,41000,40450,40700,35637,-0.006105006,40250,39680,39047.5,39336.66667,37101.66667,0,0
2017-04-10,40800,40800,39650,39900,44523,-0.01965602,40310,39785,39045,39362.5,37121.25,0,0
2017-04-11,40200,40200,39300,40000,43702,0.002506266,40420,39890,39115,39384.16667,37146.66667,0,0
2017-04-12,39650,40250,39550,40150,28809,0.00375,40340,39960,39202.5,39416.66667,37179.16667,0,0
2017-04-13,40150,41350,40100,40500,61154,0.00871731,40250,40130,39290,39462.5,37219.16667,0,0
2017-04-14,40150,40400,39550,39700,34712,-0.019753086,40050,40150,39345,39502.5,37246.66667,0,0
2017-04-17,39700,40650,39500,40650,46964,0.023929471,40200,40255,39470,39562.5,37286.25,0,0
2017-04-18,50500,52800,49800,52800,1687686,0.298892989,42760,41590,40205,39824.16667,37430.41667,1,2
2017-04-19,60000,62200,56000,56500,3489377,0.070075758,46030,43185,41167.5,40145,37597.08333,1,17
2017-04-20,55200,56900,54500,56500,877430,0,49230,44740,42080,40448.33333,37767.08333,1,3
2017-04-21,58000,58400,54700,55000,558153,-0.026548673,52290,46170,42925,40742.5,37929.58333,0,0
2017-04-24,56400,58100,55600,56200,623896,0.021818182,55400,47800,43792.5,41052.5,38098.33333,1,2
2017-04-25,56500,56500,54200,55500,364184,-0.012455516,55940,49350,44620,41347.5,38290,0,1
2017-04-26,55800,57200,55200,55900,332029,0.007207207,55820,50925,45442.5,41635,38482.08333,1,1
2017-04-27,55700,56100,53800,54500,273501,-0.025044723,55420,52325,46227.5,41888.33333,38665.83333,0,0
2017-04-28,54300,55900,54300,54800,212702,0.005504587,55380,53835,46992.5,42146.66667,38852.08333,0,0
2017-05-02,54800,55300,53400,54100,141259,-0.012773723,54960,55180,47717.5,42395.83333,39031.25,0,0
2017-05-04,54200,59000,54100,58700,526689,0.085027726,55600,55770,48680,42702.5,39259.58333,0,0
2017-05-08,58200,58300,55800,56200,376695,-0.042589438,55660,55740,49462.5,42967.5,39456.25,0,0
2017-05-10,56800,57500,55600,57100,288847,0.016014235,56180,55800,50270,43254.16667,39663.75,1,1
2017-05-11,57600,58600,56200,57700,343252,0.010507881,56760,56070,51120,43550,39872.91667,1,5
2017-05-12,57700,57800,56000,56000,136978,-0.029462738,57140,56050,51925,43816.66667,40069.58333,1,1
2017-05-15,56100,56400,54900,55800,111275,-0.003571429,56560,56080,52715,44081.66667,40256.25,0,0
2017-05-16,56200,57500,55900,56100,168277,0.005376344,56540,56100,53512.5,44354.16667,40446.25,0,0
2017-05-17,56100,56100,54800,55400,112784,-0.012477718,56200,56190,54257.5,44618.33333,40639.16667,1,1
2017-05-18,54600,57300,54100,57000,188425,0.028880866,56060,56410,55122.5,44911.66667,40851.25,0,0
2017-05-19,57200,57400,56400,56800,101792,-0.003508772,56220,56680,55930,45202.5,41066.25,0,0
2017-05-22,57600,58000,56300,57200,111397,0.007042254,56500,56530,56150,45506.66667,41283.33333,1,1
2017-05-23,57200,57300,55500,56200,111356,-0.017482517,56520,56530,56135,45755,41498.75,1,1
2017-05-24,56200,56800,55200,56800,82838,0.010676157,56800,56500,56150,46003.33333,41710.41667,0,0
2017-05-25,56900,56900,55100,55300,106982,-0.026408451,56460,56260,56165,46227.5,41909.16667,1,2
2017-05-26,55400,56000,54400,55200,119853,-0.001808318,56140,56180,56115,46440.83333,42102.5,0,0
2017-05-29,55200,55500,54500,55400,80683,0.003623188,55780,56140,56110,46665.83333,42299.58333,0,0
2017-05-30,55400,56000,54800,55500,71045,0.001805054,55640,56080,56090,46896.66667,42489.16667,0,0
2017-05-31,55800,56000,54900,54900,100137,-0.010810811,55260,56030,56110,47111.66667,42675,0,0
2017-06-01,55200,59500,54900,56200,540196,0.023679417,55440,55950,56180,47369.16667,42872.5,1,1
2017-06-02,57000,57400,56500,56500,139046,0.005338078,55700,55920,56300,47645,43070.83333,0,0
2017-06-05,57100,57100,56100,56400,104254,-0.001769912,55900,55840,56185,47915.83333,43265,1,1
2017-06-07,60100,63000,58800,59400,955042,0.053191489,56680,56160,56345,48247.5,43478.33333,1,1
2017-06-08,60500,61500,59400,60100,364220,0.011784512,57720,56490,56495,48594.16667,43697.08333,0,0
2017-06-09,61000,62200,60400,61500,443695,0.023294509,58780,57110,56685,48950.83333,43920.41667,0,0
2017-06-12,60900,61100,59900,60500,164627,-0.016260163,59580,57640,56910,49293.33333,44139.16667,1,1
2017-06-13,60300,61700,59800,60600,217424,0.001652893,60420,58160,57150,49660,44353.33333,0,0
2017-06-14,61000,61100,59500,59600,155017,-0.01650165,60460,58570,57325,50013.33333,44554.58333,0,0
2017-06-15,59600,60800,59600,60300,130946,0.011744966,60500,59110,57570,50372.5,44757.08333,0,0
2017-06-16,61300,61600,60000,60600,225506,0.004975124,60320,59550,57750,50739.16667,44956.66667,1,5
2017-06-19,60800,65200,60600,64100,543237,0.057755776,61040,60310,58115,51171.66667,45178.75,1,1
2017-06-20,64300,64300,61900,62500,270702,-0.024960998,61420,60920,58380,51578.33333,45374.16667,1,1
2017-06-21,62200,62300,60700,61700,173700,-0.0128,61840,61150,58655,51985.83333,45574.16667,0,0
