Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,17850,17900,17100,17150,203559,-0.036516854,17320,16865,14690,12997.5,11528.5,0,0
2017-01-03,17350,18100,17000,17500,283436,0.020408163,17430,16975,15005,13118.33333,11592.58333,0,0
2017-01-04,17750,18000,16200,16900,376869,-0.034285714,17400,17085,15285,13228.33333,11652.5,0,0
2017-01-05,16950,17100,16550,16900,147425,0,17250,17175,15577.5,13337.5,11712.33333,0,0
2017-01-06,17000,17550,16850,17400,205556,0.029585799,17170,17245,15855,13452.5,11774.75,0,0
2017-01-09,17750,17950,17400,17450,236918,0.002873563,17230,17275,16125,13542.5,11837.41667,0,0
2017-01-10,17500,17500,16900,17450,237648,0,17220,17325,16392.5,13627.5,11899.5,0,0
2017-01-11,17500,18500,17250,18400,401039,0.054441261,17520,17460,16695,13713.33333,11970.58333,0,0
2017-01-12,18300,18950,18100,18700,218573,0.016304348,17880,17565,17007.5,13807.5,12044.41667,0,0
2017-01-13,18450,18600,18100,18300,119711,-0.021390374,18060,17615,17157.5,13905,12114.5,0,0
2017-01-16,18400,18400,17300,17350,237710,-0.051912568,18040,17635,17250,13983.33333,12176.66667,0,0
2017-01-17,17400,17800,17000,17150,142990,-0.011527378,17980,17600,17287.5,14037.5,12237.91667,0,0
2017-01-18,17100,17800,16750,17800,162747,0.037900875,17860,17690,17387.5,14109.16667,12304.66667,0,0
2017-01-19,17950,17950,17050,17150,110522,-0.036516854,17550,17715,17445,14165,12366.33333,0,0
2017-01-20,16900,17150,16550,16900,136436,-0.014577259,17270,17665,17455,14214.16667,12426.66667,0,0
2017-01-23,16700,16950,16150,16200,142112,-0.041420118,17040,17540,17407.5,14255.83333,12483.33333,0,0
2017-01-24,16000,16650,15950,16550,88687,0.021604938,16920,17450,17387.5,14312.5,12537.08333,0,0
2017-01-25,16750,16950,16350,16550,48984,0,16670,17265,17362.5,14371.66667,12587.08333,0,0
2017-01-26,16800,17150,16550,16750,61860,0.012084592,16590,17070,17317.5,14445,12640.83333,0,0
2017-01-31,16750,17200,16550,17050,74930,0.017910448,16620,16945,17280,14520.83333,12691.25,0,0
