Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,17911,19611,17589,19290,52537,0.08243084,18086.8,17880.2,17294.55,16064.28333,14660.75833,0,0
2017-01-03,19289,19564,19013,19060,21648,-0.011923276,18389.8,17958.2,17505.8,16147.71667,14698.64167,0,0
2017-01-04,18921,19196,18416,18831,31670,-0.01201469,18555.4,18063.8,17687.2,16212.03333,14734.61667,0,0
2017-01-05,18554,19289,18554,19290,12546,0.024374701,18858.4,18275.1,17898.45,16250.31667,14776.33333,0,0
2017-01-06,19106,21677,19106,20714,97517,0.073820632,19437,18592,18169.45,16314.63333,14830.30833,0,0
2017-01-09,20850,22366,20528,21954,79358,0.059862895,19969.8,19028.3,18417.5,16398.83333,14895.375,0,0
2017-01-10,22045,22366,21494,21540,26363,-0.018857611,20465.8,19427.8,18628.75,16470.01667,14956.99167,0,0
2017-01-11,21539,22089,20989,21587,24297,0.002181987,21017,19786.2,18814.8,16555,15020.14167,0,0
2017-01-12,21677,21677,20391,20668,59046,-0.042571918,21292.6,20075.5,18957.15,16633.08333,15078.31667,0,0
2017-01-13,20574,21079,20437,20714,16857,0.002225663,21292.6,20364.8,19074.3,16724.93333,15136.5,0,0
2017-01-16,20804,20804,20161,20254,21436,-0.022207203,20952.6,20461.2,19170.7,16811.41667,15192.375,0,0
2017-01-17,20253,20528,19656,20116,19990,-0.006813469,20667.8,20566.8,19262.5,16887.95,15247.1,0,0
2017-01-18,20253,20253,19748,20025,15411,-0.004523762,20355.4,20686.2,19375,16969.08333,15302.975,0,0
2017-01-19,20116,21814,20116,20760,48982,0.03670412,20373.8,20833.2,19554.15,17060.96667,15366.50833,0,0
2017-01-20,20528,21079,20391,20760,17552,0,20383,20837.8,19714.9,17145.16667,15430.04167,1,1
2017-01-23,20804,21172,20667,20714,13911,-0.0022158,20475,20713.8,19871.05,17230.15,15496.64167,0,0
2017-01-24,20712,21539,20667,20806,14025,0.004441441,20613,20640.4,20034.1,17322.01667,15562.86667,0,0
2017-01-25,20804,21126,20483,20806,10905,0,20769.2,20562.3,20174.25,17421.53333,15621.04167,0,0
2017-01-26,20804,21033,20712,20943,13941,0.006584639,20805.8,20589.8,20332.65,17537.88333,15679.21667,0,0
2017-01-31,20758,21722,20758,21449,14421,0.024160817,20943.6,20663.3,20514.05,17653.46667,15743.525,0,0
2017-02-01,21447,22641,21447,22413,25354,0.04494382,21283.4,20879.2,20670.2,17785.9,15818.54167,0,0
2017-02-02,22779,24570,22182,23882,83630,0.065542319,21898.6,21255.8,20911.3,17937.45,15905.03333,0,0
2017-02-03,23882,24019,23239,23882,32535,0,22513.8,21641.5,21163.85,18079.05,15992.68333,0,0
2017-02-06,23882,23972,22872,23240,29226,-0.026882171,22973.2,21889.5,21361.35,18221.43333,16074.20833,0,0
2017-02-07,23055,23192,22274,22551,17743,-0.02964716,23193.6,22068.6,21453.2,18343.9,16151.90833,0,0
2017-02-08,22550,22641,21952,22597,17682,0.002039821,23230.4,22256.9,21485.35,18465.61667,16229.6,0,0
2017-02-09,22595,22595,22182,22597,10316,0,22973.4,22436,21538.2,18585.8,16308.44167,0,0
2017-02-10,22595,23928,22595,23148,41584,0.024383768,22826.6,22670.2,21616.25,18712.1,16393.40833,0,0
2017-02-13,23009,24294,23009,24205,32510,0.045662692,23019.6,22996.4,21793.1,18852.96667,16485.275,0,0
2017-02-14,24340,25581,24340,25583,51569,0.056930386,23626,23409.8,22036.55,19016.03333,16588.625,0,0
2017-02-15,25535,25535,24708,25306,19926,-0.010827503,24167.8,23699.1,22289.15,19174.48333,16690.43333,0,0
2017-02-16,25443,27510,25167,25260,88849,-0.001817751,24700.4,23836.9,22546.35,19337.51667,16791.85833,0,0
2017-02-17,25167,26223,24938,25536,30928,0.010926366,25178,24002.3,22821.9,19503.61667,16896.725,0,0
2017-02-20,25994,25994,24892,25215,26631,-0.012570489,25380,24199.8,23044.65,19671.25,16995.85,0,0
2017-02-21,25306,26867,24938,26868,30652,0.065556217,25637,24631.5,23350.05,19862.61667,17111.43333,0,0
2017-02-22,27143,27233,26178,26455,31889,-0.015371446,25866.8,25017.3,23637.1,20047.1,17226.63333,0,0
2017-02-23,26638,27143,26270,26914,13074,0.017350217,26197.6,25449,23942.5,20239.23333,17345.65833,1,2
2017-02-24,26913,28382,26821,28154,43682,0.046072676,26721.2,25949.6,24309.9,20450.5,17476.175,0,0
2017-02-27,28153,29347,28153,29165,42437,0.03590964,27511.2,26445.6,24721,20677.85,17616.64167,0,0
2017-02-28,29301,30909,29026,29899,62186,0.025167152,28117.4,26877.2,25143.5,20917.43333,17762.85,0,0
2017-03-02,30494,31046,29393,31048,32304,0.038429379,29036,27451.4,25575.25,21180,17917.48333,0,0
2017-03-03,31138,31643,30312,31600,31991,0.017778923,29973.2,28085.4,25961.15,21459.41667,18075.95,0,0
2017-03-06,31276,31781,29393,30037,69671,-0.049462025,30349.8,28535.5,26268.9,21706.65,18222.53333,0,0
2017-03-07,30082,31000,29806,30359,31093,0.010720112,30588.6,29049.9,26624.85,21961.55,18372.18333,0,0
2017-03-08,30219,30909,30128,30312,17697,-0.001548141,30671.2,29394.3,27012.9,22211.85,18521.83333,0,0
2017-03-09,30128,30494,29944,30222,10830,-0.002969121,30506,29771,27394.15,22432.33333,18671.10833,0,0
2017-03-10,29989,32607,29852,32610,48550,0.079015287,30708,30340.6,27894.8,22687.25,18838.375,0,0
2017-03-13,32607,33618,32378,32610,45514,0,31222.6,30786.2,28367.9,22932.98333,19002.575,0,0
2017-03-14,32700,33068,32240,32563,15639,-0.001441276,31663.4,31126,28785.8,23178.68333,19166.775,0,0
2017-03-15,32607,33802,32516,33206,43978,0.019746338,32242.2,31456.7,29166.95,23425.93333,19334.41667,0,0
2017-03-16,33434,33710,32102,32747,33175,-0.013822803,32747.2,31626.6,29539,23666.28333,19496.69167,1,2
2017-03-17,32883,33710,32378,33620,25170,0.026658931,32949.2,31828.6,29957,23921.95,19667.39167,0,0
2017-03-20,34123,35639,34123,35641,48647,0.060113028,33555.4,32389,30462.25,24219.71667,19855.325,0,0
2017-03-21,36006,39497,36006,37249,151888,0.045116579,34492.6,33078,31063.95,24554.25,20055.89167,0,0
2017-03-22,37660,38900,37109,38396,62948,0.030792773,35530.6,33886.4,31640.35,24901.76667,20266.39167,0,0
2017-03-23,38992,44549,38946,44505,206534,0.159105115,37882.2,35314.7,32542.85,25350.33333,20527.8,0,0
2017-03-24,47305,48040,42758,45744,208519,0.027839569,40307,36628.1,33484.35,25820.31667,20799.53333,0,0
2017-03-27,46386,47305,44733,46755,101535,0.022101259,42529.8,38042.6,34414.4,26299.51667,21074.725,0,0
2017-03-28,47672,47672,45559,46940,62800,0.003956796,44468,39480.3,35303.15,26785.6,21351.06667,0,0
2017-03-29,46846,52908,45652,52542,127975,0.119343843,47297.2,41413.9,36435.3,27364.28333,21670.65,0,0
2017-03-30,54286,59706,53735,56675,255338,0.078660881,49731.2,43806.7,37716.65,27987.36667,22025.825,1,3
2017-03-31,57133,70545,44641,44642,854304,-0.212315836,49510.8,44908.9,38368.75,28413.73333,22280.725,0,0
2017-04-03,45559,46570,41242,43035,576831,-0.035997491,48766.8,45648.3,39018.65,28817.13333,22514.58333,0,0
2017-04-04,41472,42436,37751,39132,348981,-0.090693621,47205.2,45836.6,39457.3,29147.83333,22699.075,0,0
2017-04-05,38579,41288,38579,40279,192523,0.02931105,44752.6,46024.9,39955.65,29473.91667,22894.275,0,0
2017-04-06,40370,40967,37890,38672,94989,-0.03989672,41152,45441.6,40378.15,29752.55,23075.69167,0,0
2017-04-07,39038,39222,34721,34905,289123,-0.097408978,39204.6,44357.7,40492.9,29975.3,23222.65833,0,0
2017-04-10,35593,37384,33618,35456,301564,0.015785704,37688.8,43227.8,40635.2,30206.45,23380.725,0,0
2017-04-11,35363,37890,34904,37707,136221,0.063487139,37403.8,42304.5,40892.4,30490.43333,23561.75833,0,0
2017-04-12,37936,39497,37201,38855,230749,0.030445275,37119,40935.8,41174.85,30792.78333,23758.85833,0,0
2017-04-13,39405,39819,38670,38993,100109,0.003551666,37183.2,39167.6,41487.15,31105.1,23958.25833,0,0
2017-04-14,38119,38763,35317,35732,136339,-0.083630395,37348.6,38276.6,41592.75,31365.36667,24126.65833,0,0
2017-04-17,35134,37660,35134,36744,85107,0.028321952,37606.2,37647.5,41647.9,31644.01667,24306.55,0,0
2017-04-18,36741,37476,36419,36972,34451,0.006205095,37459.2,37431.5,41634.05,31914.21667,24487.59167,0,0
2017-04-19,36925,38119,36696,37156,52344,0.004976739,37119.4,37119.2,41572.05,32187.48333,24666.325,0,0
2017-04-20,37430,39910,36971,39498,140545,0.063031543,37220.4,37201.8,41321.7,32500.55,24865.35,0,0
2017-04-21,39864,40830,38256,39222,92687,-0.006987696,37918.4,37633.5,40995.6,32807.48333,25064.75,0,0
2017-04-24,39038,41335,39038,41152,122764,0.049207078,38800,38203.1,40715.45,33146.58333,25284.05833,0,0
2017-04-25,41518,42208,40967,41978,105284,0.020071928,39801.2,38630.2,40467.35,33497.16667,25517.525,0,0
2017-04-26,42298,42713,41702,41933,80238,-0.00107199,40756.6,38938,39936.9,33838.56667,25746.01667,0,0
2017-04-27,42023,42068,39313,40325,92219,-0.038346887,40922,39071.2,39119.4,34137.1,25961.5,0,0
2017-04-28,40600,40737,37751,38396,90231,-0.04783633,40756.8,39337.6,38807.1,34379,26158.225,0,0
2017-05-02,38395,39084,37063,39039,41916,0.016746536,40334.2,39567.1,38607.3,34631.61667,26355.33333,0,0
2017-05-04,38807,39773,38165,39039,25792,0,39746.4,39773.8,38602.65,34894.93333,26558.18333,0,0
