Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,101000,102000,100000,100000,1309,-0.014778325,101200,101100,101070,99551.66667,101728.3333,0,0
2017-01-03,100000,100500,99000,100500,2663,0.005,101000,101000,101110,99551.66667,101690.8333,0,0
2017-01-04,100500,100500,98800,99200,2587,-0.012935323,100440,100820,101110,99505,101650.8333,-1,2
2017-01-05,99200,99200,98400,98700,3913,-0.005040323,99980,100590,101020,99458.33333,101602.5,1,1
2017-01-06,98600,98700,98100,98400,2405,-0.003039514,99360,100380,100865,99415,101547.5,0,0
2017-01-09,99200,99900,98200,98700,2305,0.00304878,99100,100150,100675,99376.66667,101490.8333,0,0
2017-01-10,98700,98800,98200,98600,2157,-0.001013171,98720,99860,100505,99353.33333,101425,0,0
2017-01-11,98400,99600,98000,98100,2986,-0.005070994,98500,99470,100360,99323.33333,101371.6667,0,0
2017-01-12,99000,99000,97500,98200,2569,0.001019368,98400,99190,100245,99295,101306.6667,0,0
2017-01-13,97800,98200,97100,97500,4224,-0.00712831,98220,98790,99995,99255,101240,0,0
2017-01-16,97600,98000,96800,97200,3685,-0.003076923,97920,98510,99805,99218.33333,101170.8333,0,0
2017-01-17,96900,97900,96900,97300,1110,0.001028807,97660,98190,99595,99175,101098.3333,0,0
2017-01-18,98000,98500,97100,98000,580,0.007194245,97640,98070,99445,99145,101019.1667,0,0
2017-01-19,97900,98000,97100,97300,798,-0.007142857,97460,97930,99260,99125,100934.1667,0,0
2017-01-20,97500,97500,96600,96800,3169,-0.005138746,97320,97770,99075,99091.66667,100849.1667,0,0
2017-01-23,96600,97900,96600,97400,1086,0.006198347,97360,97640,98895,99080,100773.3333,0,0
2017-01-24,98000,98000,97200,97700,2278,0.003080082,97440,97550,98705,99081.66667,100691.6667,0,0
2017-01-25,97700,98100,96700,97000,2311,-0.00716479,97240,97440,98455,99066.66667,100595.8333,0,0
2017-01-26,97800,97900,96800,97800,1282,0.008247423,97340,97400,98295,99103.33333,100510.8333,0,0
2017-01-31,98000,98000,96700,96900,1785,-0.009202454,97360,97340,98065,99130,100414.1667,0,0
2017-02-01,98100,98100,96900,97500,1159,0.00619195,97380,97370,97940,99173.33333,100326.6667,0,0
2017-02-02,98200,98200,97000,97700,5112,0.002051282,97380,97410,97800,99193.33333,100236.6667,0,0
2017-02-03,98000,98000,97000,97800,1902,0.001023541,97540,97390,97730,99215,100151.6667,0,0
2017-02-06,97700,98100,97200,97400,1473,-0.00408998,97460,97400,97665,99221.66667,100046.6667,0,3
2017-02-07,97500,98200,97200,97500,1481,0.001026694,97580,97470,97620,99198.33333,99950.83333,0,0
2017-02-08,97500,97600,96600,97500,2344,0,97580,97480,97560,99181.66667,99863.33333,1,1
2017-02-09,96700,97200,96400,97200,2274,-0.003076923,97480,97430,97490,99160,99777.5,0,0
2017-02-10,97100,97500,96600,97200,1684,0,97360,97450,97445,99141.66667,99691.66667,0,0
2017-02-13,97400,97400,96800,97400,2122,0.002057613,97360,97410,97405,99118.33333,99615.83333,0,0
2017-02-14,96900,97400,96800,97300,2094,-0.001026694,97320,97450,97395,99090,99551.66667,0,0
2017-02-15,97200,97800,96800,97800,2189,0.005138746,97380,97480,97425,99083.33333,99495.83333,1,2
2017-02-16,97900,97900,97000,97700,628,-0.001022495,97480,97480,97445,99078.33333,99443.33333,0,0
2017-02-17,97700,98500,97400,98500,2606,0.008188332,97740,97550,97470,99096.66667,99397.5,0,0
2017-02-20,97700,98500,97200,98000,2756,-0.005076142,97860,97610,97505,99066.66667,99347.5,0,0
2017-02-21,98000,98700,97600,98300,1836,0.003061224,98060,97690,97580,99043.33333,99300,0,0
2017-02-22,98400,99200,97700,98500,5299,0.002034588,98200,97790,97635,99035,99270.83333,1,2
2017-02-23,98900,98900,97000,97400,8472,-0.011167513,98140,97810,97620,99000,99236.66667,1,3
2017-02-24,97500,98200,97100,97900,4029,0.00513347,98020,97880,97665,98968.33333,99206.66667,0,0
2017-02-27,98300,98300,96800,97000,4862,-0.009193054,97820,97840,97625,98950,99181.66667,-1,1
2017-02-28,97400,97500,96700,97200,2344,0.002061856,97600,97830,97640,98920,99145.83333,0,0
2017-03-02,97500,97600,96500,97300,6057,0.001028807,97360,97780,97630,98880,99119.16667,0,0
2017-03-03,97600,98700,97000,98300,3921,0.010277492,97540,97840,97660,98856.66667,99106.66667,0,0
2017-03-06,98000,98800,97200,98500,2142,0.002034588,97660,97840,97695,98845,99094.16667,0,0
2017-03-07,98000,98800,97500,98800,3944,0.003045685,98020,97920,97765,98816.66667,99071.66667,0,0
2017-03-08,98800,100000,98300,99700,5649,0.009109312,98520,98060,97875,98786.66667,99075,0,0
2017-03-09,99700,102000,99700,100000,6796,0.003009027,99060,98210,98000,98745,99085,0,0
2017-03-10,101000,101000,99600,101000,1775,0.01,99600,98570,98190,98728.33333,99112.5,-1,2
2017-03-13,101500,101500,100000,100500,2066,-0.004950495,100000,98830,98355,98720,99121.66667,1,2
2017-03-14,101000,101500,100000,101000,2799,0.004975124,100440,99230,98535,98728.33333,99113.33333,0,0
2017-03-15,101000,101500,99600,101000,2234,0,100700,99610,98720,98703.33333,99125,0,0
