Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,4215,4215,4165,4175,498795,-0.010663507,4233,4262,4339.75,4522.416667,4783.625,0,0
2017-01-03,4170,4205,4165,4205,398266,0.007185629,4226,4252,4327.25,4514.083333,4781.416667,0,0
2017-01-04,4220,4240,4195,4205,621042,0,4214,4242.5,4313.75,4506.166667,4778.916667,0,0
2017-01-05,4200,4290,4200,4275,657094,0.016646849,4216,4241,4309.75,4499.75,4776.75,0,0
2017-01-06,4285,4285,4250,4275,528843,0,4227,4239.5,4305.5,4492.916667,4774.5,0,0
2017-01-09,4280,4280,4205,4210,612549,-0.015204678,4234,4233.5,4296,4486.833333,4771.291667,0,0
2017-01-10,4210,4230,4195,4210,382728,0,4235,4230.5,4284.75,4479.666667,4767.625,0,0
2017-01-11,4230,4235,4195,4205,519804,-0.001187648,4235,4224.5,4272,4473.25,4764.291667,0,0
2017-01-12,4215,4330,4200,4330,1038538,0.029726516,4246,4231,4266,4468.5,4762.083333,0,0
2017-01-13,4320,4340,4275,4295,574219,-0.008083141,4250,4238.5,4258.5,4462.5,4759.5,0,0
2017-01-16,4305,4315,4245,4260,635663,-0.00814901,4260,4247,4254.5,4454.083333,4756.125,0,0
2017-01-17,4240,4255,4230,4245,487306,-0.003521127,4267,4251,4251.5,4445.833333,4752.958333,0,0
2017-01-18,4245,4305,4235,4245,674682,0,4275,4255,4248.75,4439.833333,4750.291667,0,0
2017-01-19,4260,4280,4235,4240,552088,-0.001177856,4257,4251.5,4246.25,4434,4747.25,0,0
2017-01-20,4225,4245,4205,4230,470697,-0.002358491,4244,4247,4243.25,4427.833333,4742.5,0,0
2017-01-23,4230,4240,4170,4175,635933,-0.013002364,4227,4243.5,4238.5,4420.833333,4737.041667,0,0
2017-01-24,4160,4225,4145,4225,498755,0.011976048,4223,4245,4237.75,4414.25,4731.416667,0,0
2017-01-25,4200,4215,4155,4165,517984,-0.014201183,4207,4241,4232.75,4407.75,4723.208333,0,0
2017-01-26,4165,4225,4165,4210,327919,0.010804322,4201,4229,4230,4403.166667,4714.875,0,0
2017-01-31,4195,4210,4185,4190,407706,-0.004750594,4193,4218.5,4228.5,4397.833333,4706.708333,0,0
2017-02-01,4190,4265,4190,4255,646201,0.015513126,4209,4218,4232.5,4392.833333,4698.5,0,0
2017-02-02,4270,4415,4255,4340,1801956,0.019976498,4232,4227.5,4239.25,4388.25,4689.083333,0,0
2017-02-03,4370,4410,4240,4375,1229621,0.008064516,4274,4240.5,4247.75,4384.25,4679.708333,0,0
2017-02-06,4375,4380,4270,4285,1054126,-0.020571429,4289,4245,4248.25,4380.166667,4666.25,0,0
2017-02-07,4270,4335,4270,4310,642023,0.005834306,4313,4253,4250,4375.583333,4654.5,0,0
2017-02-08,4290,4320,4235,4245,683047,-0.015081206,4311,4260,4251.75,4371,4642.125,0,0
2017-02-09,4230,4280,4230,4270,478376,0.005889282,4297,4264.5,4254.75,4365.5,4630.458333,0,0
2017-02-10,4290,4320,4255,4315,531306,0.010538642,4285,4279.5,4260.25,4359.75,4620.166667,0,0
2017-02-13,4320,4340,4285,4325,463900,0.002317497,4293,4291,4260,4353.666667,4608.708333,0,0
2017-02-14,4320,4335,4290,4320,321607,-0.001156069,4295,4304,4261.25,4348.5,4597.958333,0,0
2017-02-15,4310,4340,4310,4320,495866,0,4310,4310.5,4264.25,4344.166667,4588.875,0,0
2017-02-16,4340,4350,4300,4310,398808,-0.002314815,4318,4307.5,4267.5,4339.583333,4579.041667,0,0
2017-02-17,4310,4330,4285,4295,330589,-0.003480278,4314,4299.5,4270,4335.083333,4568.166667,0,0
