Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,5030,5400,5030,5310,148976,0.062,5102,5303,5653.5,6025.5,7466.75,0,0
2017-01-03,5410,5410,5160,5250,109044,-0.011299435,5132,5226,5641.5,5979.5,7417.583333,0,0
2017-01-04,5250,5370,5240,5260,84006,0.001904762,5206,5168,5626.5,5934,7369.75,0,0
2017-01-05,5240,5330,5210,5250,77396,-0.001901141,5214,5171,5614.5,5889.166667,7327.666667,0,0
2017-01-06,5300,5300,5150,5170,61425,-0.015238095,5248,5162,5593.5,5841.5,7283.666667,0,0
2017-01-09,5150,5160,4975,5000,112439,-0.032882012,5186,5144,5534,5791.666667,7247.083333,0,0
2017-01-10,5090,5090,4850,4855,96350,-0.029,5107,5119.5,5464.75,5744.583333,7210.958333,0,0
2017-01-11,4840,4970,4800,4870,94370,0.003089598,5029,5117.5,5391.75,5712.75,7174.041667,0,0
2017-01-12,4850,4990,4850,4855,55626,-0.003080082,4950,5082,5314.5,5683.833333,7136.083333,0,0
2017-01-13,4855,5010,4815,4890,84340,0.007209063,4894,5071,5224,5659.5,7092.666667,0,0
2017-01-16,4970,4980,4740,4810,63148,-0.016359918,4856,5021,5162,5618.833333,7049.416667,0,0
2017-01-17,4810,5030,4750,4980,101441,0.035343035,4881,4994,5110,5582.5,7013.916667,0,0
2017-01-18,4880,5030,4840,4860,39210,-0.024096386,4879,4954,5061,5550.833333,6977.166667,0,0
2017-01-19,4850,5010,4850,4870,35073,0.002057613,4882,4916,5043.5,5515.333333,6942.416667,0,0
2017-01-20,4820,4945,4815,4870,30549,0,4878,4886,5024,5481.166667,6904.75,0,0
2017-01-23,4950,4960,4760,4820,49072,-0.01026694,4880,4868,5006,5446.833333,6869.916667,0,0
2017-01-24,4840,4845,4680,4760,55132,-0.012448133,4836,4858.5,4989,5411.833333,6834.083333,0,0
2017-01-25,4760,4950,4705,4770,77725,0.00210084,4818,4848.5,4983,5380.5,6798.416667,0,0
2017-01-26,4745,5050,4745,5030,138524,0.054507338,4850,4866,4974,5372.833333,6760.666667,0,0
2017-01-31,5070,5250,4935,5220,163578,0.03777336,4920,4899,4985,5371.666667,6723.833333,0,0
2017-02-01,5120,5620,5100,5620,269221,0.076628352,5080,4980,5000.5,5383.333333,6687.5,0,0
2017-02-02,5730,5730,5540,5700,182373,0.014234875,5268,5052,5023,5394,6653.333333,0,0
2017-02-03,5790,5790,5550,5700,126897,0,5454,5136,5045,5409,6618.333333,0,0
2017-02-06,5650,5750,5570,5740,116617,0.007017544,5596,5223,5069.5,5421.666667,6583.833333,0,0
2017-02-07,5790,5790,5470,5590,49616,-0.026132404,5670,5295,5090.5,5422.333333,6551.25,0,0
2017-02-08,5630,5630,5370,5380,37106,-0.037567084,5622,5351,5109.5,5418.5,6518.25,0,0
2017-02-09,5600,5750,5390,5750,145860,0.068773234,5632,5450,5154.25,5416,6491.5,-1,2
2017-02-10,5700,5860,5650,5750,207545,0,5642,5548,5198.25,5413,6461.916667,0,0
2017-02-13,5750,5750,5550,5550,66673,-0.034782609,5604,5600,5233,5404,6432.5,0,0
2017-02-14,5550,5590,5410,5470,52548,-0.014414414,5580,5625,5262,5394.166667,6402.583333,0,0
2017-02-15,5550,5620,5480,5520,52970,0.009140768,5608,5615,5297.5,5389.5,6374.333333,0,0
2017-02-16,5470,5580,5420,5520,26774,0,5562,5597,5324.5,5384.666667,6347,0,0
2017-02-17,5580,5580,5400,5430,43101,-0.016304348,5498,5570,5353,5387.166667,6318.833333,0,0
2017-02-20,5430,5660,5370,5450,43310,0.003683241,5478,5541,5382,5393,6291.75,0,0
2017-02-21,5450,5570,5270,5270,50135,-0.033027523,5438,5509,5402,5399.5,6264.833333,0,0
2017-02-22,5360,5370,5000,5150,102020,-0.022770398,5364,5486,5418.5,5397.333333,6247.833333,0,0
2017-02-23,5150,5240,5000,5050,64356,-0.019417476,5270,5416,5433,5395.333333,6225.833333,0,0
2017-02-24,5060,5160,5000,5050,40867,0,5194,5346,5447,5390.333333,6202.916667,0,0
2017-02-27,5180,5290,5050,5170,47911,0.023762376,5138,5308,5454,5381.166667,6182.666667,0,0
2017-02-28,5170,5280,5100,5110,49928,-0.011605416,5106,5272,5448.5,5369.666667,6160.083333,0,0
2017-03-02,5130,5170,5050,5110,18231,0,5098,5231,5423,5359,6135.916667,0,0
2017-03-03,5140,5140,4970,5050,62101,-0.011741683,5098,5184,5390.5,5351.666667,6112.583333,0,0
2017-03-06,5100,5100,4960,5000,21598,-0.00990099,5088,5141,5355.5,5342.333333,6084.666667,0,0
2017-03-07,5080,5080,4880,4925,54868,-0.015,5039,5088.5,5314.75,5332.916667,6054.041667,0,0
2017-03-08,4925,4930,4770,4900,83801,-0.005076142,4997,5051.5,5280.25,5321.416667,6024.458333,0,0
2017-03-09,4900,5010,4805,4805,45975,-0.019387755,4936,5017,5251.5,5298.333333,5996.083333,0,0
2017-03-10,4830,4875,4785,4810,29669,0.001040583,4888,4993,5204.5,5274.5,5963.416667,0,0
2017-03-13,4810,4860,4780,4825,47126,0.003118503,4853,4970.5,5158.25,5249.416667,5932.291667,0,0
2017-03-14,4820,4840,4640,4750,94517,-0.015544041,4818,4928.5,5118.25,5221.916667,5900.208333,-1,1
2017-03-15,4740,4740,4645,4680,40453,-0.014736842,4774,4885.5,5078.75,5188.25,5869.208333,0,0
2017-03-16,4635,4710,4565,4670,71299,-0.002136752,4747,4841.5,5036.25,5165.25,5837.625,0,0
2017-03-17,4710,5300,4655,5150,245435,0.102783726,4815,4851.5,5017.75,5150.75,5810.541667,0,0
2017-03-20,5100,5190,5020,5050,84571,-0.019417476,4860,4856.5,4998.75,5137.583333,5783.458333,0,0
