Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,12500,12833,12433,12667,67399,0.00531746,12080.2,11540.1,10848.4,11861.65,12547.48333,0,0
2017-01-03,12866,12866,12100,12433,114772,-0.018473198,12346.8,11703.4,11008.4,11842.75,12565.25833,0,0
2017-01-04,12466,12533,11966,11967,105124,-0.037480898,12366.8,11806.8,11126.75,11812.75,12572.75833,0,0
2017-01-05,12133,12533,11966,11967,109339,0,12326.8,11916.8,11243.45,11776.65,12580.81667,0,0
2017-01-06,12166,12333,11966,12233,86720,0.022227793,12253.4,12026.8,11358.45,11750.53333,12584.15,0,0
2017-01-09,12200,12266,11766,11867,74402,-0.029919071,12093.4,12086.8,11438.45,11713.31667,12587.48333,0,0
2017-01-10,11866,12666,11866,12067,284609,0.016853459,12020.2,12183.5,11528.45,11682.21667,12591.65,0,0
2017-01-11,12233,13600,11966,13467,610352,0.116018895,12320.2,12343.5,11688.45,11674.45,12605.81667,0,0
2017-01-12,13533,13600,12933,12967,214685,-0.037127794,12520.2,12423.5,11796.8,11653.9,12619.70833,0,0
2017-01-13,13000,13166,12566,12733,135561,-0.018045809,12620.2,12436.8,11888.45,11636.11667,12630.25833,0,0
2017-01-16,12766,12766,12100,12133,117579,-0.047121652,12673.4,12383.4,11961.75,11612.21667,12638.03333,0,0
2017-01-17,12166,12366,11933,12000,93194,-0.01096184,12660,12340.1,12021.75,11588.33333,12648.30833,0,0
2017-01-18,12133,12366,11600,12200,164451,0.016666667,12406.6,12363.4,12085.1,11576.11667,12656.91667,1,3
2017-01-19,12366,12833,12266,12433,121054,0.019098361,12299.8,12410,12163.4,11562.78333,12667.19167,0,0
2017-01-20,12366,12666,12200,12633,75819,0.016086222,12279.8,12450,12238.4,11542.21667,12676.90833,0,0
2017-01-23,12633,13100,12466,12967,168858,0.026438692,12446.6,12560,12323.4,11530,12690.8,0,0
2017-01-24,13200,13566,13000,13100,209179,0.010256806,12666.6,12663.3,12423.4,11526.11667,12707.46667,0,0
2017-01-25,13133,14233,13133,14067,471777,0.073816794,13040,12723.3,12533.4,11540.01667,12727.75,0,0
2017-01-26,14166,14800,13800,14400,293477,0.023672425,13433.4,12866.6,12645.05,11572.23333,12752.475,0,0
2017-01-31,14533,14666,14133,14367,107437,-0.002291667,13780.2,13030,12733.4,11603.9,12767.2,0,0
2017-02-01,14266,14466,14000,14300,78295,-0.004663465,14046.8,13246.7,12815.05,11630.56667,12782.475,0,0
2017-02-02,14233,14299,13533,13533,174961,-0.053636364,14133.4,13400,12870.05,11636.11667,12790.80833,0,0
2017-02-03,13533,14166,13466,13933,165217,0.029557378,14106.6,13573.3,12968.35,11647.21667,12800.80833,0,0
2017-02-06,13766,15366,13766,15200,665073,0.09093519,14266.6,13850,13130,11693.88333,12826.64167,0,0
2017-02-07,15366,16166,15166,15467,716133,0.017565789,14486.6,14133.4,13291.7,11742.78333,12855.25833,0,0
2017-02-08,15600,15900,15266,15900,202253,0.027995086,14806.6,14426.7,13493.35,11802.78333,12881.36667,0,0
2017-02-09,15866,15966,15466,15500,144082,-0.025157233,15200,14666.7,13665,11864.45,12900.53333,0,0
2017-02-10,15000,15966,14966,15333,262988,-0.010774194,15480,14793.3,13758.3,11922.78333,12919.7,0,0
2017-02-13,15666,16233,15333,15933,257222,0.039131285,15626.6,14946.6,13906.6,11986.66667,12928.03333,0,0
2017-02-14,15933,16400,15666,15867,190573,-0.004142346,15706.6,15096.6,14063.3,12053.33333,12933.03333,0,0
2017-02-15,15866,16666,15600,16467,211650,0.037814332,15820,15313.3,14280,12138.33333,12941.925,0,0
2017-02-16,16600,16600,16066,16333,131923,-0.008137487,15986.6,15593.3,14496.65,12233.88333,12954.7,0,0
2017-02-17,16000,16666,15900,16133,115208,-0.012245148,16146.6,15813.3,14693.3,12322.21667,12970.53333,0,0
2017-02-20,16233,16266,15800,16067,130291,-0.004090994,16173.4,15900,14875,12412.78333,12984.98333,0,0
2017-02-21,16033,16233,15399,15833,253396,-0.014564013,16166.6,15936.6,15035,12507.78333,13004.15,0,0
2017-02-22,15866,15866,15466,15533,105955,-0.018947767,15979.8,15899.9,15163.3,12595,13022.2,0,0
2017-02-23,15533,15733,14366,14567,313970,-0.062190176,15626.6,15806.6,15236.65,12668.9,13030.53333,0,0
2017-02-24,14466,14999,14400,14633,229211,0.004530789,15326.6,15736.6,15264.95,12746.11667,13046.64167,0,0
2017-02-27,14733,14766,13933,14633,229201,0,15039.8,15606.6,15276.6,12830,13066.08333,0,0
2017-02-28,14633,14866,14366,14367,57575,-0.018178091,14746.6,15456.6,15276.6,12905.56667,13083.03333,0,0
2017-03-02,14466,15066,14400,14800,151740,0.030138512,14600,15289.9,15301.6,12988.35,13098.03333,0,0
2017-03-03,14800,14933,14133,14500,133612,-0.02027027,14586.6,15106.6,15349.95,13076.13333,13106.09167,0,0
2017-03-06,14566,15400,14333,15333,143644,0.057448276,14726.6,15026.6,15419.95,13171.68333,13127.475,0,0
2017-03-07,15400,15466,14999,15300,91698,-0.002152221,14860,14949.9,15424.95,13266.13333,13150.53333,0,0
2017-03-08,15200,15499,15033,15400,58451,0.006535948,15066.6,14906.6,15421.6,13357.25,13176.36667,0,0
2017-03-09,15633,15633,15066,15067,63769,-0.021623377,15120,14860,15379.95,13437.25,13190.25833,0,0
2017-03-10,15066,15400,14766,15367,62016,0.019911064,15293.4,14940,15373.3,13522.25,13179.70833,0,0
2017-03-13,15433,15700,15266,15267,96996,-0.006507451,15280.2,15003.4,15370,13605.58333,13168.325,0,0
2017-03-14,15500,15500,15000,15100,88481,-0.010938626,15240.2,15050.1,15328.35,13677.25,13158.05,0,0
2017-03-15,15033,15200,14433,14600,114116,-0.033112583,15080.2,15073.4,15265,13738.91667,13141.10833,0,0
2017-03-16,14866,14866,14266,14400,105097,-0.01369863,14946.8,15033.4,15161.65,13801.13333,13128.60833,0,0
2017-03-17,14333,15000,14000,14400,186873,0,14753.4,15023.4,15065,13861.13333,13120.83333,0,0
2017-03-20,14566,14566,14166,14167,65183,-0.016180556,14533.4,14906.8,14966.7,13915.03333,13114.45,0,0
2017-03-21,14333,14566,14066,14100,70482,-0.0047293,14333.4,14786.8,14868.35,13968.91667,13105.55833,0,0
2017-03-22,14133,15300,14133,15200,333081,0.078014184,14453.4,14766.8,14836.7,14036.7,13106.11667,0,0
