Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,706,708,700,708,308002,0.007112376,704,703.9,692.5,724.9166667,805.975,0,0
2017-01-03,710,725,705,720,741680,0.016949153,707,706.5,696.25,723.1833333,805.3916667,0,0
2017-01-04,725,729,719,723,416768,0.004166667,710.6,708.4,699.4,721.7833333,804.6833333,0,0
2017-01-05,725,733,722,733,389232,0.013831259,717.4,711.3,703.1,720.5166667,802.0416667,0,0
2017-01-06,730,738,726,731,331782,-0.002728513,723,713.5,706.25,719.2333333,800.5083333,0,0
2017-01-09,738,738,720,721,309827,-0.013679891,725.6,714.8,708.2,718,798.5,0,0
2017-01-10,721,732,715,723,462699,0.002773925,726.2,716.6,709.8,716.85,796.7916667,0,0
2017-01-11,723,729,715,718,436823,-0.006915629,725.2,717.9,711.15,715.6666667,795.3833333,0,0
2017-01-12,725,725,709,712,402573,-0.008356546,721,719.2,711.6,713.95,793.7166667,0,0
2017-01-13,715,720,706,712,499454,0,717.2,720.1,711.85,712.15,792.175,0,0
2017-01-16,706,712,692,692,758891,-0.028089888,711.4,718.5,711.2,710,790.4416667,0,0
2017-01-17,692,700,692,693,273945,0.001445087,705.4,715.8,711.15,708.2666667,788.4333333,0,0
2017-01-18,693,700,687,693,343956,0,700.4,712.8,710.6,706.85,786.2583333,0,0
2017-01-19,692,699,690,694,257831,0.001443001,696.8,708.9,710.1,705.75,784.3333333,0,0
2017-01-20,694,698,690,692,232208,-0.002881844,692.8,705,709.25,704.5833333,782.325,0,0
2017-01-23,692,694,683,684,358109,-0.011560694,691.2,701.3,708.05,703.5333333,780.3416667,0,0
2017-01-24,684,684,669,671,439657,-0.019005848,686.8,696.1,706.35,702.6333333,778.1416667,0,0
2017-01-25,664,682,664,671,230923,0,682.4,691.4,704.65,701.6666667,776.05,0,0
2017-01-26,670,680,669,678,203419,0.010432191,679.2,688,703.6,701.3666667,773.7666667,0,0
2017-01-31,689,694,675,691,268126,0.019174041,679,685.9,703,701.2,771.5583333,0,0
2017-02-01,695,703,690,701,263650,0.01447178,682.4,686.8,702.65,701.1166667,769.6,0,0
2017-02-02,698,702,692,695,331722,-0.008559201,687.2,687,701.4,700.8666667,767.4416667,0,0
2017-02-03,694,735,691,714,1888227,0.027338129,695.8,689.1,700.95,700.9333333,765.4833333,0,0
2017-02-06,720,724,696,717,850972,0.004201681,703.6,691.4,700.15,701.3833333,763.625,0,0
2017-02-07,715,736,709,719,1199394,0.0027894,709.2,694.1,699.55,701.3666667,762.0333333,0,0
2017-02-08,715,719,696,710,632870,-0.012517385,711,696.7,699,701.2,760.1916667,0,0
2017-02-09,716,754,705,711,6038657,0.001408451,714.2,700.7,698.4,700.7,758.5166667,0,0
2017-02-10,711,716,698,698,663302,-0.018284107,711,703.4,697.4,700.0166667,756.8,0,0
2017-02-13,702,710,699,702,444599,0.005730659,708,705.8,696.9,699.3,755.1416667,0,0
2017-02-14,699,716,699,714,434123,0.017094017,707,708.1,697,698.7833333,753.5833333,0,0
2017-02-15,714,718,711,714,286934,0,707.8,709.4,698.1,698.5333333,752.05,0,0
2017-02-16,714,724,713,715,348265,0.00140056,708.6,711.4,699.2,698.5166667,750.6916667,0,0
2017-02-17,713,715,705,710,419046,-0.006993007,711,711,700.05,698.4166667,749.35,0,0
2017-02-20,705,709,699,705,443469,-0.007042254,711.6,709.8,700.6,698.5,747.9,0,0
2017-02-21,705,711,704,707,211852,0.002836879,710.2,708.6,701.35,698.8166667,746.525,0,0
2017-02-22,707,717,704,710,407474,0.004243281,709.4,708.6,702.65,699.0666667,745.425,0,0
2017-02-23,713,714,702,710,624630,0,708.4,708.5,704.6,699.2833333,744.3083333,0,0
2017-02-24,774,877,740,740,54575040,0.042253521,714.4,712.7,708.05,700.1333333,743.45,0,0
2017-02-27,740,771,720,723,6377655,-0.022972973,718,714.8,710.3,700.85,742.3416667,0,0
2017-02-28,727,729,705,714,2985120,-0.012448133,719.4,714.8,711.45,701.6833333,741.1416667,0,0
2017-03-02,716,716,701,706,1881333,-0.011204482,718.6,714,711.7,702.2833333,739.925,0,0
2017-03-03,706,721,700,708,1367458,0.002832861,718.2,713.3,712.35,703.3333333,738.6666667,0,0
2017-03-06,715,715,703,713,664991,0.007062147,712.8,713.6,712.3,704.2166667,737.5666667,0,0
2017-03-07,713,722,708,718,1088580,0.007012623,711.8,714.9,712.35,705.2,736.675,0,0
2017-03-08,712,725,705,718,790774,0,712.6,716,712.3,706.0333333,735.8,0,0
2017-03-09,722,723,708,712,837167,-0.008356546,713.8,716.2,712.4,706.5333333,734.75,0,0
2017-03-10,712,712,683,706,1413028,-0.008426966,713.4,715.8,712.15,706.7833333,733.625,0,0
2017-03-13,703,718,701,712,793586,0.008498584,713.2,713,712.85,707.1333333,732.55,0,0
2017-03-14,712,738,703,716,2908992,0.005617978,712.8,712.3,713.55,707.35,731.3666667,0,0
2017-03-15,713,745,711,730,2290692,0.019553073,715.2,713.9,714.35,707.7333333,730.1166667,0,0
2017-03-16,731,747,729,736,1109098,0.008219178,720,716.9,715.45,708.25,729,0,0
2017-03-17,741,745,723,736,1252759,0,726,719.7,716.5,708.95,727.9166667,0,0
2017-03-20,736,739,726,733,529578,-0.004076087,730.2,721.7,717.65,709.4333333,726.775,0,0
2017-03-21,747,750,729,735,823334,0.002728513,734,723.4,719.15,709.95,725.6416667,0,0
2017-03-22,720,765,720,738,2231109,0.004081633,735.6,725.4,720.7,710.4333333,724.5583333,0,0
2017-03-23,738,743,726,731,873259,-0.009485095,734.6,727.3,721.75,710.8166667,723.45,0,0
2017-03-24,731,734,720,720,683577,-0.01504788,731.4,728.7,722.25,711.0666667,722.5166667,0,0
2017-03-27,716,720,700,702,1268949,-0.025,725.2,727.7,720.35,711.0166667,721.3666667,0,0
2017-03-28,702,709,694,707,592216,0.007122507,719.6,726.8,719.55,711.15,720.2333333,0,0
2017-03-29,709,713,702,710,469208,0.004243281,714,724.8,719.35,711.2666667,719.1416667,0,0
2017-03-30,715,716,698,704,638693,-0.008450704,708.6,721.6,719.25,711.2,718.0583333,0,0
2017-03-31,705,711,698,710,424235,0.008522727,706.6,719,719.35,711.0333333,717.1083333,0,0
2017-04-03,710,724,705,723,749241,0.018309859,710.8,718,719.85,711.0333333,716.4083333,0,0
2017-04-04,719,738,714,725,1198672,0.002766252,714.4,717,720.2,710.9,715.7083333,0,0
2017-04-05,725,733,718,725,570327,0,717.4,715.7,720.55,710.8,715.0166667,0,0
2017-04-06,721,744,721,734,1291543,0.012413793,723.4,716,721.65,711.0166667,714.5083333,0,0
2017-04-07,736,736,723,723,463091,-0.014986376,726,716.3,722.5,711.0166667,713.9333333,0,0
2017-04-10,727,727,700,705,1008587,-0.024896266,722.4,716.6,722.15,710.8,713.2333333,0,0
2017-04-11,699,710,696,703,784749,-0.002836879,718,716.2,721.5,710.65,712.3,0,0
2017-04-12,701,705,696,699,596148,-0.0056899,712.8,715.1,719.95,710.4333333,711.2916667,0,0
2017-04-13,706,706,695,700,631329,0.001430615,706,714.7,718.15,710.5666667,710.2833333,0,0
2017-04-14,700,703,678,688,777886,-0.017142857,699,712.5,715.75,710.4833333,709.375,0,0
2017-04-17,690,704,690,702,311091,0.020348837,698.4,710.4,714.2,710.6333333,708.7416667,0,0
2017-04-18,706,706,699,704,259673,0.002849003,698.6,708.3,712.65,710.8,708.275,0,0
2017-04-19,703,706,698,698,430291,-0.008522727,698.4,705.6,710.65,710.9,707.7416667,0,0
2017-04-20,698,703,695,697,484388,-0.001432665,697.8,701.9,708.95,711.1166667,707.325,0,0
2017-04-21,694,699,692,696,302185,-0.00143472,699.4,699.2,707.75,711.5333333,707.0833333,0,0
2017-04-24,704,704,691,691,350163,-0.007183908,697.2,697.8,707.2,711.8666667,706.7666667,0,0
2017-04-25,700,700,689,694,378731,0.004341534,695.2,696.9,706.55,712.1333333,706.75,0,0
2017-04-26,698,735,690,700,1788080,0.008645533,695.6,697,706.05,712.2833333,706.7416667,0,0
2017-04-27,701,735,698,709,3067377,0.012857143,698,697.9,706.3,712.4166667,706.7666667,0,0
2017-04-28,714,750,713,725,5268662,0.022566996,703.8,701.6,707.05,712.9166667,706.8916667,0,0
2017-05-02,732,752,714,745,2980267,0.027586207,714.6,705.9,708.15,713.4333333,707.1833333,0,0
2017-05-04,746,761,736,753,1489858,0.010738255,726.4,710.8,709.55,714.0333333,707.7083333,0,0
2017-05-08,759,765,743,756,1297926,0.003984064,737.6,716.6,711.1,714.65,708.0083333,0,0
2017-05-10,765,776,749,775,2570530,0.025132275,750.8,724.4,713.15,715.7333333,708.4666667,0,0
2017-05-11,783,784,751,752,1732221,-0.029677419,756.2,730,714.6,716.4166667,708.5583333,0,0
2017-05-12,751,820,732,787,5519554,0.046542553,764.6,739.6,718.7,717.9,708.9583333,0,0
