Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,22400,22600,22150,22450,39876,0.006726457,22250,22825,22610,20745,21235,0,0
2017-01-03,22500,22900,22400,22900,64582,0.020044543,22410,22685,22722.5,20814.16667,21226.25,0,0
2017-01-04,23000,23200,22800,23050,79175,0.006550218,22660,22630,22842.5,20886.66667,21215.83333,0,0
2017-01-05,23150,23200,22550,22850,97054,-0.00867679,22710,22665,22892.5,20952.5,21190,0,0
2017-01-06,22900,23500,22900,23150,82973,0.013129103,22880,22610,22957.5,21025,21172.91667,0,0
2017-01-09,23200,23250,22700,22850,43843,-0.012958963,22960,22605,22985,21082.5,21153.33333,0,0
2017-01-10,22750,22800,21800,21850,127669,-0.043763676,22750,22580,22972.5,21130,21123.33333,0,0
2017-01-11,21950,22050,21600,21950,70778,0.004576659,22530,22595,22962.5,21179.16667,21097.91667,0,0
2017-01-12,21900,22700,21700,22450,107358,0.022779043,22450,22580,22912.5,21240,21075,0,0
2017-01-13,22300,22650,21950,22150,61954,-0.013363029,22250,22565,22795,21295,21053.75,0,0
2017-01-16,22300,22300,21950,22050,61135,-0.004514673,22090,22525,22675,21358.33333,21027.08333,0,0
2017-01-17,22150,22150,21100,21200,104847,-0.038548753,21960,22355,22520,21400,21001.25,0,0
2017-01-18,21200,21500,20800,21500,67240,0.014150943,21870,22200,22415,21438.33333,20977.08333,0,0
2017-01-19,21450,22100,21400,22050,84248,0.025581395,21790,22120,22392.5,21470.83333,20957.08333,0,0
2017-01-20,21800,22300,21650,22050,62928,0,21770,22010,22310,21511.66667,20938.75,0,0
2017-01-23,22050,23750,22050,23600,393168,0.070294785,22080,22085,22345,21576.66667,20935.83333,0,0
2017-01-24,23800,24250,23000,23100,216131,-0.021186441,22460,22210,22395,21637.5,20936.25,0,0
2017-01-25,23300,23950,23000,23900,149258,0.034632035,22940,22405,22500,21718.33333,20944.58333,0,0
2017-01-26,23600,23750,23250,23650,110364,-0.010460251,23260,22525,22552.5,21795.83333,20953.75,0,0
2017-01-31,23450,23800,23350,23400,63107,-0.010570825,23530,22650,22607.5,21871.66667,20957.5,0,0
2017-02-01,23400,24850,23400,24400,191613,0.042735043,23690,22885,22705,21964.16667,20973.33333,0,0
2017-02-02,24350,24800,24150,24300,88282,-0.004098361,23930,23195,22775,22042.5,20992.5,0,0
2017-02-03,24150,24800,23950,24250,85816,-0.002057613,24000,23470,22835,22110,21011.66667,0,0
2017-02-06,24250,24650,23600,23600,104481,-0.026804124,23990,23625,22872.5,22178.33333,21021.25,0,0
2017-02-07,23750,25550,23700,24750,335843,0.048728814,24260,23895,22952.5,22247.5,21041.66667,0,0
2017-02-08,23750,25100,23350,25000,327657,0.01010101,24380,24035,23060,22322.5,21063.75,0,0
2017-02-09,25250,26050,24700,25900,224795,0.036,24700,24315,23262.5,22410,21095.41667,0,0
2017-02-10,25900,28150,25850,27800,530761,0.073359073,25410,24705,23555,22532.5,21145.41667,0,0
2017-02-13,27950,29150,27850,29100,375161,0.04676259,26510,25250,23887.5,22661.66667,21207.08333,0,0
2017-02-14,28800,29150,28350,29000,179373,-0.003436426,27360,25810,24230,22795.83333,21271.66667,0,0
2017-02-15,28950,29350,28600,28900,153631,-0.003448276,28140,26260,24572.5,22930,21341.66667,0,0
2017-02-16,28850,28850,27600,27650,255343,-0.043252595,28490,26595,24895,23047.5,21401.66667,0,0
2017-02-17,27850,28250,27550,28100,187235,0.016274864,28550,26980,25225,23172.5,21464.16667,0,0
2017-02-20,28100,29100,27900,28850,195022,0.026690391,28500,27505,25565,23310,21535.83333,0,0
2017-02-21,29100,29600,28650,29600,164656,0.025996534,28620,27990,25942.5,23465,21614.58333,0,0
2017-02-22,29900,30350,29350,30250,200188,0.021959459,28890,28515,26275,23619.16667,21700,0,0
2017-02-23,30250,30350,29500,30100,96032,-0.004958678,29380,28935,26625,23775.83333,21782.91667,0,0
2017-02-24,30000,30450,29750,30300,114237,0.006644518,29820,29185,26945,23935.83333,21868.33333,0,0
2017-02-27,30300,30300,28200,28200,237514,-0.069306931,29690,29095,27172.5,24055,21934.58333,1,4
2017-02-28,28100,29200,28100,28750,166015,0.019503546,29520,29070,27440,24190,22002.5,1,26
2017-03-02,29100,30000,28300,29650,158789,0.031304348,29400,29145,27702.5,24339.16667,22078.33333,1,2
2017-03-03,29250,29600,28200,29150,163909,-0.016863406,29210,29295,27945,24480.83333,22152.91667,1,23
2017-03-06,28800,29350,27800,28050,128298,-0.037735849,28760,29290,28135,24604.16667,22220,1,1
2017-03-07,27600,27600,24500,25850,1023107,-0.078431373,28290,28990,28247.5,24670.83333,22271.25,1,3
2017-03-08,26250,26300,25600,25700,133589,-0.005802708,27680,28600,28295,24735,22324.16667,1,24
2017-03-09,25850,28150,25850,27550,336814,0.071984436,27260,28330,28422.5,24822.5,22395,1,40
2017-03-10,27550,28500,26950,28500,197060,0.034482759,27130,28170,28552.5,24929.16667,22472.5,1,41
2017-03-13,28750,29250,28500,29000,119406,0.01754386,27320,28040,28612.5,25043.33333,22550,1,2
2017-03-14,29000,29100,27800,28300,101889,-0.024137931,27810,28050,28572.5,25124.16667,22618.33333,1,24
2017-03-15,28300,28750,27600,28500,88159,0.007067138,28370,28025,28547.5,25190.83333,22686.25,1,14
2017-03-16,28900,28900,28250,28250,63598,-0.00877193,28510,27885,28515,25254.16667,22750,1,12
2017-03-17,28250,29850,28250,29600,191015,0.047787611,28730,27930,28612.5,25342.5,22825,1,21
2017-03-20,29650,29750,29050,29700,70623,0.003378378,28870,28095,28692.5,25444.16667,22903.75,1,4
2017-03-21,29450,29800,29300,29600,66657,-0.003367003,29130,28470,28730,25562.5,22980.41667,1,20
2017-03-22,29350,30250,29250,30000,139965,0.013513514,29430,28900,28750,25667.5,23064.58333,1,9
2017-03-23,30200,30200,29350,30000,118469,0,29780,29145,28737.5,25785.83333,23145.83333,1,6
2017-03-24,30000,30000,29250,29450,66682,-0.018333333,29750,29240,28705,25908.33333,23229.16667,1,25
2017-03-27,29500,29500,28800,28900,77093,-0.018675722,29590,29230,28635,26026.66667,23307.08333,0,0
2017-03-28,28800,29600,28800,29400,97994,0.017301038,29550,29340,28695,26140,23390,1,12
2017-03-29,29350,30250,29150,29550,195029,0.005102041,29460,29445,28735,26260.83333,23474.58333,1,23
2017-03-30,29750,29800,28950,29400,97069,-0.005076142,29340,29560,28722.5,26376.66667,23560.83333,1,21
2017-03-31,29400,29500,28450,29100,157738,-0.010204082,29270,29510,28720,26480,23647.08333,1,26
2017-04-03,29100,29300,29000,29300,43224,0.006872852,29350,29470,28782.5,26584.16667,23735.41667,1,1
2017-04-04,29450,29550,28950,28950,63293,-0.011945392,29260,29405,28937.5,26685.83333,23819.16667,1,16
2017-04-05,28700,30350,28700,30000,217080,0.03626943,29350,29405,29152.5,26800,23912.5,1,13
2017-04-06,31350,31350,29850,30650,323757,0.021666667,29600,29470,29307.5,26930,24006.25,1,19
2017-04-07,30700,31100,30350,30800,122943,0.004893964,29940,29605,29422.5,27079.16667,24104.58333,1,16
2017-04-10,0,0,0,30800,0,0,30240,29795,29512.5,27226.66667,24202.91667,1,5
2017-04-11,0,0,0,30800,0,0,30610,29935,29637.5,27365.83333,24302.91667,1,18
2017-04-12,0,0,0,30800,0,0,30770,30060,29752.5,27510,24402.5,1,13
2017-04-13,0,0,0,30800,0,0,30800,30200,29880,27655.83333,24507.08333,1,26
2017-04-14,0,0,0,30800,0,0,30800,30370,29940,27815.83333,24607.91667,1,28
2017-04-17,0,0,0,30800,0,0,30800,30520,29995,27970.83333,24704.58333,1,1
2017-04-18,0,0,0,30800,0,0,30800,30705,30055,28116.66667,24793.75,1,9
2017-04-19,0,0,0,30800,0,0,30800,30785,30095,28262.5,24887.08333,1,18
2017-04-20,0,0,0,30800,0,0,30800,30800,30135,28382.5,24979.58333,1,17
2017-04-21,0,0,0,30800,0,0,30800,30800,30202.5,28510.83333,25074.16667,1,23
2017-04-24,0,0,0,30800,0,0,30800,30800,30297.5,28625.83333,25172.08333,1,4
2017-04-25,0,0,0,30800,0,0,30800,30800,30367.5,28745,25270.41667,1,13
2017-04-26,0,0,0,30800,0,0,30800,30800,30430,28868.33333,25370,1,22
2017-04-27,0,0,0,30800,0,0,30800,30800,30500,28975,25469.58333,1,29
2017-04-28,0,0,0,30800,0,0,30800,30800,30585,29083.33333,25562.91667,1,31
2017-05-02,32100,32400,30450,31000,281879,0.006493506,30840,30820,30670,29195.83333,25652.91667,1,1
2017-05-04,31000,31300,28600,30400,448903,-0.019354839,30760,30780,30742.5,29309.16667,25743.75,0,0
2017-05-08,30000,31050,29900,31050,132907,0.021381579,30810,30805,30795,29414.16667,25830.83333,1,1
2017-05-10,31100,32250,31050,31900,152255,0.027375201,31030,30915,30857.5,29529.16667,25925.83333,1,7
2017-05-11,32200,32300,31600,31600,102628,-0.009404389,31190,30995,30897.5,29624.16667,26017.08333,1,16
2017-05-12,31300,31800,31200,31600,49996,0,31310,31075,30937.5,29687.5,26110,1,23
2017-05-15,31500,32100,31050,32100,72507,0.015822785,31650,31205,31002.5,29737.5,26199.58333,1,9
2017-05-16,32300,32400,31700,32000,69138,-0.003115265,31840,31325,31062.5,29787.5,26291.66667,1,24
2017-05-17,32000,32300,31500,32000,62376,0,31860,31445,31122.5,29839.16667,26384.58333,1,14
2017-05-18,31500,33000,31500,32650,112088,0.0203125,32070,31630,31215,29922.5,26485,1,52
2017-05-19,32500,32950,31900,32100,85597,-0.016845329,32170,31740,31280,29989.16667,26580.83333,1,26
2017-05-22,31700,32550,31300,32550,96097,0.014018692,32260,31955,31367.5,30050.83333,26680.41667,1,7
2017-05-23,32400,33850,32350,33650,109673,0.033794163,32590,32215,31510,30118.33333,26791.66667,1,18
2017-05-24,33500,33700,32700,33300,61603,-0.010401189,32850,32355,31635,30169.16667,26894.16667,1,16
2017-05-25,33200,33500,32800,33250,36327,-0.001501502,32970,32520,31757.5,30221.66667,26998.75,1,34
2017-05-26,33300,33600,32900,33350,55566,0.003007519,33220,32695,31885,30272.5,27104.16667,1,9
2017-05-29,33350,33500,32300,33000,56566,-0.010494753,33310,32785,31995,30352.5,27203.75,1,1
2017-05-30,32600,33200,32600,33050,55199,0.001515152,33190,32890,32107.5,30424.16667,27307.08333,1,24
2017-05-31,33000,33850,32800,33800,62725,0.02269289,33290,33070,32257.5,30493.33333,27416.25,1,24
2017-06-01,33850,33900,33550,33800,52717,0,33400,33185,32407.5,30570.83333,27525.83333,1,15
2017-06-02,33500,33900,33250,33750,37497,-0.00147929,33480,33350,32545,30665.83333,27635,1,20
2017-06-05,33700,34000,33500,33850,48837,0.002962963,33650,33480,32717.5,30799.16667,27735,1,3
2017-06-07,33850,33850,32700,32750,78445,-0.032496307,33590,33390,32802.5,30916.66667,27825.83333,0,0
2017-06-08,32450,32750,31550,32700,77998,-0.001526718,33370,33330,32842.5,31002.5,27912.5,1,16
2017-06-09,32400,33000,32300,32850,52606,0.004587156,33180,33290,32905,31075,28002.08333,1,18
2017-06-12,32850,33150,32500,32850,47468,0,33000,33240,32967.5,31139.16667,28091.25,1,1
2017-06-13,32550,32950,32500,32900,47275,0.00152207,32810,33230,33007.5,31215.83333,28170,1,19
2017-06-14,33000,34700,32700,34200,179529,0.039513678,33100,33345,33117.5,31310.83333,28250.83333,1,45
2017-06-15,34200,35000,33550,34850,172671,0.019005848,33530,33450,33260,31420.83333,28337.5,1,15
2017-06-16,34550,36600,34450,36200,283329,0.038737446,34200,33690,33437.5,31530.83333,28436.66667,1,39
2017-06-19,36450,37500,35000,36100,213253,-0.002762431,34850,33925,33637.5,31637.5,28540.83333,0,0
2017-06-20,36350,37650,36100,37150,199032,0.029085873,35700,34255,33867.5,31763.33333,28662.91667,0,0
2017-06-21,37150,37550,36350,37150,65669,0,36290,34695,34042.5,31882.5,28775,0,0
2017-06-22,36950,36950,34650,35100,219056,-0.055181696,36340,34935,34132.5,31967.5,28876.66667,1,1
2017-06-23,35050,36250,35050,36100,122865,0.028490028,36320,35260,34275,32078.33333,28993.33333,1,1
2017-06-26,35500,35950,35150,35700,44027,-0.011080332,36240,35545,34392.5,32191.66667,29109.16667,1,2
2017-06-27,35450,35850,33800,35850,132492,0.004201681,35980,35840,34535,32299.16667,29219.58333,0,0
2017-06-28,35500,35500,34350,34450,72288,-0.039051604,35440,35865,34605,32380.83333,29320.83333,0,0
2017-06-29,34550,35100,33150,33150,104175,-0.037735849,35050,35695,34572.5,32443.33333,29410,0,0
2017-06-30,33000,34500,32800,34500,81583,0.040723982,34730,35525,34607.5,32533.33333,29506.66667,0,0
2017-07-03,34700,34700,33200,34150,72242,-0.010144928,34420,35330,34627.5,32614.16667,29599.16667,0,0
2017-07-04,34000,34000,33150,33500,43139,-0.019033675,33950,34965,34610,32690,29687.91667,1,5
2017-07-05,33050,33800,32800,33750,50196,0.007462687,33810,34625,34660,32752.5,29776.25,0,0
2017-07-06,33750,34450,33500,33700,53375,-0.001481481,33920,34485,34710,32803.33333,29866.66667,0,0
2017-07-07,33700,33850,32700,32900,59200,-0.023738872,33600,34165,34712.5,32838.33333,29958.75,0,0
2017-07-10,32900,33000,31350,31550,101383,-0.041033435,33080,33750,34647.5,32850.83333,30038.75,0,0
2017-07-11,31350,32350,31350,31750,51897,0.006339144,32730,33340,34590,32866.66667,30116.25,1,1
2017-07-12,31700,32100,31300,31750,49316,0,32330,33070,34467.5,32882.5,30196.25,0,0
2017-07-13,32000,32050,30950,31750,50157,0,31940,32930,34312.5,32898.33333,30277.08333,0,0
2017-07-14,31500,32200,31200,32200,41378,0.014173228,31800,32700,34112.5,32921.66667,30368.75,1,1
2017-07-17,32000,32250,31750,32000,39104,-0.00621118,31890,32485,33907.5,32941.66667,30456.25,1,1
2017-07-18,32000,32700,31700,32700,62068,0.021875,32080,32405,33685,32973.33333,30545,1,1
2017-07-19,32900,33450,32300,32850,54532,0.004587156,32300,32315,33470,33007.5,30635,0,0
2017-07-20,33100,33150,32250,32950,46881,0.00304414,32540,32240,33362.5,33043.33333,30712.91667,0,0
2017-07-21,32800,33600,32400,32950,50406,0,32690,32245,33205,33079.16667,30795,0,0
2017-07-24,32900,33000,32450,32700,29245,-0.007587253,32830,32360,33055,33110.83333,30868.33333,1,1
2017-07-25,32600,34100,32600,34100,83031,0.042813456,33110,32595,32967.5,33165.83333,30955.41667,0,0
2017-07-26,33650,35000,33500,34050,114235,-0.001466276,33350,32825,32947.5,33220,31044.16667,0,0
2017-07-27,34050,34650,33500,33950,75117,-0.002936858,33550,33045,32987.5,33272.5,31123.75,0,0
2017-07-28,33950,34350,32650,33300,66901,-0.019145803,33620,33155,32927.5,33314.16667,31198.75,1,2
2017-07-31,32800,33600,31600,32550,89498,-0.022522523,33590,33210,32847.5,33340,31267.91667,0,0
2017-08-01,32050,33400,32050,32750,61328,0.006144393,33320,33215,32810,33379.16667,31344.16667,0,0
2017-08-02,32500,32900,32200,32500,23963,-0.007633588,33010,33180,32747.5,33403.33333,31408.75,0,0
2017-08-03,32500,32500,31300,31750,42399,-0.023076923,32570,33060,32650,33400.83333,31465,0,0
2017-08-04,31750,32200,31300,31700,37894,-0.001574803,32250,32935,32590,33402.5,31513.33333,0,0
2017-08-07,31700,31850,31200,31850,21311,0.004731861,32110,32850,32605,33406.66667,31547.08333,0,0
2017-08-08,31600,32450,31600,32300,36503,0.014128728,32020,32670,32632.5,33410,31573.75,0,0
2017-08-09,32000,32300,31200,31650,74788,-0.020123839,31850,32430,32627.5,33404.16667,31595.83333,-1,1
2017-08-10,31600,31700,30700,31550,69688,-0.003159558,31810,32190,32617.5,33396.66667,31617.91667,0,1
2017-08-11,30850,31000,28600,29200,139258,-0.074484945,31310,31780,32467.5,33339.16667,31630.83333,0,0
2017-08-14,28800,29350,28400,29000,70975,-0.006849315,30740,31425,32317.5,33287.5,31638.33333,0,0
2017-08-16,29100,29650,29000,29300,42348,0.010344828,30140,31080,32147.5,33233.33333,31642.08333,0,0
2017-08-17,28900,32200,28900,31750,139088,0.083617747,30160,31005,32092.5,33201.66667,31660,0,0
2017-08-18,31150,32150,31150,32100,47605,0.011023622,30270,31040,32050,33181.66667,31675.41667,-1,2
2017-08-21,32500,34700,31900,34000,136895,0.059190031,31230,31270,32102.5,33194.16667,31707.91667,1,3
2017-08-22,34000,34300,33550,33850,41102,-0.004411765,32200,31470,32160,33202.5,31737.5,0,0
2017-08-23,33850,33950,33300,33800,30760,-0.001477105,33100,31620,32145,33215.83333,31784.16667,0,0
2017-08-24,33650,34000,33500,33750,18769,-0.00147929,33500,31830,32130,33227.5,31825.83333,0,0
2017-08-25,34250,34250,33400,33750,37083,0,33830,32050,32120,33226.66667,31860,1,1
2017-08-28,33600,33650,32350,32600,59918,-0.034074074,33550,32390,32085,33206.66667,31888.75,0,0
2017-08-29,32800,32800,32250,32700,19421,0.003067485,33320,32760,32092.5,33189.16667,31927.5,0,0
2017-08-30,32650,32900,32150,32700,26068,0,33100,33100,32090,33170,31984.58333,1,1
2017-08-31,32900,32950,32100,32900,39981,0.006116208,32930,33215,32110,33172.5,32044.58333,1,2
2017-09-01,32950,34500,32650,34400,94405,0.045592705,33060,33445,32242.5,33200.83333,32101.66667,0,1
2017-09-04,32950,34400,32700,34250,77970,-0.004360465,33390,33470,32370,33224.16667,32149.58333,0,0
2017-09-05,34100,35000,33350,35000,74634,0.02189781,33850,33585,32527.5,33260,32199.58333,0,0
2017-09-06,35450,35450,34500,34850,81032,-0.004285714,34280,33690,32655,33292.5,32254.16667,0,0
2017-09-07,34950,35200,34400,34850,33663,0,34670,33800,32815,33303.33333,32307.08333,0,0
2017-09-08,34600,34900,34150,34650,36976,-0.005738881,34720,33890,32970,33300,32360.41667,0,0
2017-09-11,34250,34600,33200,33700,76080,-0.027417027,34610,34000,33195,33258.33333,32394.58333,0,0
