Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,7350,7410,7100,7160,301718,-0.02319236,7200,7141,6868.5,5756.333333,5231.833333,0,0
2017-01-03,7130,7210,7010,7060,296545,-0.01396648,7184,7153,6918.5,5789.333333,5258.333333,0,0
2017-01-04,7120,7140,6940,7060,379664,0,7126,7175,6953,5825.166667,5285,0,0
2017-01-05,7100,7110,6830,6920,469837,-0.019830028,7106,7141,6976.5,5857.166667,5310.416667,0,0
2017-01-06,6890,6910,6750,6810,268897,-0.015895954,7002,7105,6995,5887.583333,5334.333333,1,1
2017-01-09,6850,7530,6800,7380,1474791,0.083700441,7046,7123,7031,5924.083333,5363.083333,0,0
2017-01-10,7410,7450,7180,7320,465450,-0.008130081,7098,7141,7072.5,5957.083333,5391.083333,0,0
2017-01-11,7290,7420,7250,7300,203014,-0.00273224,7146,7136,7093,5990.083333,5418.416667,0,0
2017-01-12,7330,7590,7200,7390,584031,0.012328767,7240,7173,7115,6023.75,5446.583333,0,0
2017-01-13,7390,7410,6900,7030,458498,-0.048714479,7284,7143,7127.5,6053.583333,5470.208333,0,0
2017-01-16,7020,7020,6540,6550,473671,-0.068278805,7118,7082,7111.5,6074.583333,5490.583333,0,0
2017-01-17,6600,6770,6550,6600,237721,0.007633588,6974,7036,7094.5,6098.25,5511.5,0,0
2017-01-18,6680,6920,6550,6830,322929,0.034848485,6880,7013,7094,6127.916667,5534.25,0,0
2017-01-19,6860,6940,6670,6750,149273,-0.011713031,6752,6996,7068.5,6158.75,5555.833333,0,0
2017-01-20,6750,6800,6390,6450,409403,-0.044444444,6636,6960,7032.5,6181.25,5575.416667,0,0
2017-01-23,6460,6540,6410,6410,106623,-0.00620155,6608,6863,6993,6204.25,5594.583333,0,0
2017-01-24,6410,6580,6290,6520,243367,0.017160686,6592,6783,6962,6230.833333,5615.125,0,0
2017-01-25,6520,6610,6480,6570,114421,0.007668712,6540,6710,6923,6257.166667,5635.5,0,0
2017-01-26,6630,6640,6500,6620,135299,0.00761035,6514,6633,6903,6286.833333,5655.375,0,0
2017-01-31,6620,6620,6450,6600,94065,-0.003021148,6544,6590,6866.5,6316.5,5671.416667,0,0
2017-02-01,6580,6800,6580,6780,245853,0.027272727,6618,6613,6847.5,6349.083333,5688.75,0,0
2017-02-02,6830,6830,6380,6380,249164,-0.05899705,6590,6591,6813.5,6371.083333,5702.666667,0,0
2017-02-03,6380,6500,6310,6400,70828,0.003134796,6556,6548,6780.5,6394.083333,5713.916667,0,0
2017-02-06,6450,6470,6190,6290,128978,-0.0171875,6490,6502,6749,6418.75,5725.291667,0,0
2017-02-07,6290,6410,6200,6270,136685,-0.00317965,6424,6484,6722,6439.583333,5737.541667,0,2
2017-02-08,6280,6290,6140,6270,102041,0,6322,6470,6666.5,6461.416667,5746.458333,0,0
2017-02-09,6280,6480,6280,6380,178858,0.01754386,6322,6456,6619.5,6484.75,5758.458333,0,0
