Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,4990,4990,4890,4900,111791,-0.023904382,4972,4986.5,4969,5002.416667,5287.708333,0,0
2017-01-03,4900,4965,4845,4965,109468,0.013265306,4976,4971,4981.5,4995.833333,5276.75,0,0
2017-01-04,4975,4975,4910,4965,107394,0,4970,4963.5,4989,4990.583333,5265.625,0,0
2017-01-05,4940,5120,4940,5070,269067,0.021148036,4984,4972,5007.5,4984.75,5254.708333,0,0
2017-01-06,5040,5090,5020,5080,169964,0.001972387,4996,4987,5018.75,4980.916667,5244.208333,0,0
2017-01-09,5100,5120,5050,5100,219651,0.003937008,5036,5004,5022.25,4976.75,5235.041667,0,0
2017-01-10,5110,5270,5090,5200,508024,0.019607843,5083,5029.5,5024.25,4974.916667,5226.458333,0,0
2017-01-11,5200,5230,5140,5140,186270,-0.011538462,5118,5044,5026.75,4970.916667,5217.625,0,0
2017-01-12,5180,5230,5130,5160,270360,0.003891051,5136,5060,5034.25,4968.416667,5208.875,0,0
2017-01-13,5180,5180,5060,5080,217249,-0.015503876,5136,5066,5033.75,4965.083333,5200.125,0,0
2017-01-16,5120,5140,5010,5030,146777,-0.00984252,5122,5079,5032.75,4962.75,5191.041667,0,0
2017-01-17,5030,5090,4970,4970,132607,-0.011928429,5076,5079.5,5025.25,4960.25,5182.041667,0,0
2017-01-18,5000,5020,4925,4950,143480,-0.004024145,5038,5078,5020.75,4958.583333,5173.291667,0,0
2017-01-19,4955,4985,4855,4870,284394,-0.016161616,4980,5058,5015,4954.25,5163.708333,0,0
2017-01-20,4860,4890,4765,4770,302810,-0.020533881,4918,5027,5007,4947.083333,5154.208333,0,0
2017-01-23,4775,4830,4745,4800,137978,0.006289308,4872,4997,5000.5,4941.416667,5144.625,0,0
2017-01-24,4780,4800,4715,4750,171157,-0.010416667,4828,4952,4990.75,4937.333333,5135.708333,0,0
