Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,22613,22750,22203,22203,124161,-0.029885961,23142.4,23639.4,23607.6,25989.85,27521.39167,1,1
2017-01-03,22385,22522,21975,22158,117189,-0.002026753,22878,23425.1,23546.05,25885.75,27475.04167,1,2
2017-01-04,22249,22568,22157,22295,97631,0.006182868,22595.4,23210.9,23489.1,25790.76667,27435.15,1,2
2017-01-05,22385,22796,22249,22659,99928,0.016326531,22440.4,23033.1,23475.4,25693.5,27393.73333,0,0
2017-01-06,22659,22704,22203,22340,124263,-0.014078291,22331,22882.6,23441.2,25588.63333,27351.94167,0,0
2017-01-09,22385,22476,22066,22158,91430,-0.008146822,22322,22732.2,23395.6,25486.81667,27305.59167,0,0
2017-01-10,22203,22294,21975,22249,96871,0.004106869,22340.2,22609.1,23322.65,25386.51667,27260.375,0,0
2017-01-11,22294,22340,22066,22249,78715,0,22331,22463.2,23254.25,25286.21667,27217.05833,1,1
2017-01-12,22112,22796,22112,22614,164253,0.016405232,22322,22381.2,23188.15,25196.55,27176.40833,-1,1
2017-01-13,22568,22887,22431,22751,129287,0.006058194,22404.2,22367.6,23108.4,25108.41667,27138.04167,-1,1
2017-01-16,22887,23252,22704,23161,134820,0.018021186,22604.8,22463.4,23051.4,25008.88333,27106.125,0,0
2017-01-17,23297,24209,23252,24118,162762,0.041319459,22978.6,22659.4,23042.25,24932.13333,27083.70833,0,0
2017-01-18,24118,24528,23707,24255,110255,0.005680405,23379.8,22855.4,23033.15,24855.38333,27063.95,0,0
2017-01-19,24300,24528,24072,24301,83739,0.001896516,23717.2,23019.6,23026.35,24790.8,27039.63333,0,0
2017-01-20,24437,24483,23890,24301,85617,0,24027.2,23215.7,23049.15,24721.65,27005.44167,0,0
2017-01-23,24255,24346,23616,24164,57950,-0.005637628,24227.8,23416.3,23074.25,24651.75,26969.725,0,0
2017-01-24,23935,24027,23297,23434,90022,-0.03021023,24091,23534.8,23071.95,24578.8,26916.53333,1,4
2017-01-25,23525,23525,23069,23298,69331,-0.005803533,23899.6,23639.7,23051.45,24497.5,26840.925,0,0
2017-01-26,23252,23571,23252,23434,40235,0.005837411,23726.2,23721.7,23051.45,24426.06667,26766.075,1,1
2017-01-31,23434,23525,23115,23206,46996,-0.009729453,23507.2,23767.2,23067.4,24350.83333,26691.98333,1,4
2017-02-01,23206,23480,23115,23480,39798,0.011807291,23370.4,23799.1,23131.25,24274.85,26629.29167,0,0
2017-02-02,23480,24209,23297,23845,96122,0.015545145,23452.6,23771.8,23215.6,24207.23333,26566.60833,1,5
2017-02-03,23935,24163,23388,23617,72414,-0.009561753,23516.4,23708,23281.7,24138.85,26496.7,0,0
2017-02-06,23616,23753,23343,23708,77238,0.003853157,23571.2,23648.7,23334.15,24082.61667,26413.875,1,1
2017-02-07,23799,24391,23525,24346,91767,0.026910747,23799.2,23653.2,23434.45,24033.21667,26334.08333,1,3
2017-02-08,24437,24483,24072,24301,65447,-0.001848353,23963.4,23666.9,23541.6,23994.46667,26256.575,1,1
2017-02-09,24255,24619,24163,24620,79708,0.013127032,24118.4,23785.5,23660.15,23953.43333,26179.83333,1,3
2017-02-10,24619,24711,24437,24483,66876,-0.005564582,24291.6,23904,23771.85,23916.2,26122.08333,1,1
2017-02-13,24574,24574,24118,24346,85565,-0.005595719,24419.2,23995.2,23858.45,23874.4,26067.75,-1,1
2017-02-14,24619,25166,24209,25030,101954,0.028094964,24556,24177.6,23972.4,23850.83333,26017.21667,1,4
2017-02-15,24847,25258,24665,25076,120979,0.001837795,24711,24337.2,24068.15,23828.03333,25991.76667,1,1
2017-02-16,25075,25075,24391,24483,82962,-0.02364811,24683.6,24401,24086.4,23803.71667,25961.375,1,3
2017-02-17,24574,25030,23890,24437,159577,-0.001878855,24674.4,24483,24095.5,23785.46667,25929.45833,1,6
2017-02-20,24163,24255,23844,24118,89290,-0.013053976,24628.8,24524,24086.35,23764.95,25897.15833,1,7
2017-02-21,24118,24483,24027,24437,74551,0.013226636,24510.2,24533.1,24093.15,23751.26667,25866,0,0
2017-02-22,24163,24528,24072,24392,105469,-0.00184147,24373.4,24542.2,24104.55,23735.31667,25841.30833,1,2
2017-02-23,24391,25303,24346,24939,180276,0.022425385,24464.6,24574.1,24179.8,23733.03333,25819.65,0,0
2017-02-24,25030,25075,24574,24620,79920,-0.012791211,24501.2,24587.8,24245.9,23723.15,25796.85833,1,2
2017-02-27,24847,24893,24483,24529,69422,-0.003696182,24583.4,24606.1,24300.65,23709.48333,25774.44167,1,3
2017-02-28,24528,24802,24163,24757,87635,0.00929512,24647.4,24578.8,24378.2,23719.36667,25734.55,0,0
2017-03-02,24847,24847,24255,24483,70401,-0.011067577,24665.6,24519.5,24428.35,23722.4,25697.69167,0,1
2017-03-03,24027,24118,22932,23252,145742,-0.050279786,24328.2,24396.4,24398.7,23720.11667,25658.175,1,6
2017-03-06,22704,23480,22568,23343,61447,0.003913642,24072.8,24287,24385,23718.6,25621.7,1,4
2017-03-07,23252,23434,23024,23252,42316,-0.003898385,23817.4,24200.4,24362.2,23723.91667,25578.38333,0,0
2017-03-08,23160,23206,22887,23024,43264,-0.009805608,23470.8,24059.1,24296.1,23723.91667,25537.35,0,1
2017-03-09,23069,23662,23069,23389,37992,0.015853023,23252,23958.8,24250.5,23729.23333,25503.15833,0,1
2017-03-10,23252,24027,23252,23890,64837,0.021420326,23379.6,23853.9,24214,23732.26667,25473.51667,1,4
2017-03-13,24072,24756,23890,24665,137364,0.032440352,23644,23858.4,24223.1,23749.73333,25444.64167,1,1
2017-03-14,24756,25212,24391,24392,118853,-0.011068315,23872,23844.7,24225.4,23757.33333,25415.39167,1,1
2017-03-15,24391,24528,23571,23662,101452,-0.029927845,23999.6,23735.2,24157,23745.93333,25377.01667,1,3
2017-03-16,23662,24163,23434,24073,133401,0.017369622,24136.4,23694.2,24106.85,23742.13333,25341.30833,0,1
2017-03-17,24118,25805,23571,25623,384084,0.064387488,24483,23931.3,24163.85,23764.16667,25301.8,1,5
2017-03-20,25759,26580,25622,26170,245665,0.021348008,24784,24214,24250.5,23793.05,25271.025,0,0
2017-03-21,26169,26625,25805,25942,114493,-0.008712266,25094,24483,24341.7,23818.13333,25234.55,0,0
2017-03-22,26124,26306,25486,26033,81569,0.003507825,25568.2,24783.9,24421.5,23854.6,25196.93333,1,6
2017-03-23,26352,27127,26033,27082,206277,0.04029501,26170,25153.2,24556,23911.6,25173.375,0,0
2017-03-24,27218,27309,26671,27219,112561,0.005058711,26489.2,25486.1,24670,23973.91667,25154,0,0
2017-03-27,27173,27492,26671,27127,79899,-0.003379992,26680.6,25732.3,24795.35,24030.9,25140.7,1,3
2017-03-28,27309,27309,26169,27082,137244,-0.001658864,26908.6,26001.3,24923,24091.7,25129.3,1,1
2017-03-29,27036,27446,26853,27173,88263,0.003360165,27136.6,26352.4,25043.8,24163.13333,25123.98333,0,0
2017-03-30,27173,27674,26899,27401,107311,0.008390682,27200.4,26685.2,25189.7,24249.76667,25119.80833,1,2
2017-03-31,27492,27811,26990,27173,57158,-0.008320864,27191.2,26840.2,25385.75,24333.35,25109.55,0,0
2017-04-03,27127,27720,26945,27355,59462,0.006697825,27236.8,26958.7,25586.35,24417.68333,25104.225,1,1
2017-04-04,27355,27902,27355,27857,79919,0.018351307,27391.8,27150.2,25816.6,24504.31667,25098.90833,1,1
2017-04-05,27720,27993,27309,27857,69151,0,27528.6,27332.6,26058.25,24596.26667,25092.45,0,0
2017-04-06,27902,28495,27355,28358,114854,0.017984708,27720,27460.2,26306.7,24699.6,25093.20833,1,7
2017-04-07,28449,28951,28403,28860,82831,0.017702236,28057.4,27624.3,26555.2,24809.78333,25098.15,0,0
2017-04-10,29087,29133,27811,28267,88025,-0.020547471,28239.8,27738.3,26735.3,24910.08333,25098.15,1,7
2017-04-11,28267,29179,28267,29179,142986,0.03226377,28504.2,27948,26974.65,25019.5,25108.025,0,0
2017-04-12,29133,29680,28723,29681,122227,0.017204154,28869,28198.8,27275.6,25135,25121.70833,0,0
2017-04-13,29452,29634,28495,28541,112908,-0.038408409,28905.6,28312.8,27499,25224.66667,25116.775,0,0
2017-04-14,28540,28905,27765,28632,91666,0.003188396,28860,28458.7,27649.45,25299.9,25116.01667,0,0
2017-04-17,28814,29042,28449,28814,42098,0.006356524,28969.4,28604.6,27781.65,25375.88333,25115.63333,1,2
2017-04-18,28495,28814,28267,28404,43878,-0.014229194,28814.4,28659.3,27904.75,25444.26667,25117.53333,0,0
2017-04-19,28130,28723,28130,28222,40679,-0.006407548,28522.6,28695.8,28014.2,25509.61667,25115.63333,1,1
