Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,20750,26650,20750,26650,610292,0.3,20890,20205,19697.5,20893.33333,24992.08333,0 ,0
2017-01-03,26700,27250,25900,26700,370786,0.001876173,22550,20860,20107.5,20945,24965.41667,0 ,0
2017-01-04,26600,27350,26250,26950,229973,0.009363296,24060,21575,20540,21004.16667,24930.41667,0 ,0
2017-01-05,26600,26850,25550,26400,218733,-0.020408163,25440,22235,20940,21051.66667,24893.33333,0 ,0
2017-01-06,28600,29250,26200,26500,586676,0.003787879,26640,22965,21352.5,21112.5,24850,0 ,0
2017-01-09,27000,27050,26000,26400,169354,-0.003773585,26590,23740,21717.5,21173.33333,24805,0 ,0
2017-01-10,26200,26200,24900,25000,275702,-0.053030303,26250,24400,21992.5,21220,24738.75,0 ,0
2017-01-11,25000,25350,24700,25050,102797,0.002,25870,24965,22247.5,21295.83333,24677.5,0 ,0
2017-01-12,25150,25200,23850,24000,146459,-0.041916168,25390,25415,22452.5,21345.83333,24615.41667,0 ,0
2017-01-13,24150,24500,23400,24000,155152,0,24890,25765,22652.5,21393.33333,24545.41667,0 ,0
2017-01-16,23400,23500,22650,22650,288384,-0.05625,24140,25365,22785,21419.16667,24467.91667,0 ,0
2017-01-17,22650,23150,21900,22050,148431,-0.026490066,23550,24900,22880,21440,24385,0 ,0
2017-01-18,22300,22650,21950,22250,91565,0.009070295,22990,24430,23002.5,21476.66667,24308.33333,0 ,0
2017-01-19,22350,22600,21800,21800,110057,-0.020224719,22550,23970,23102.5,21495.83333,24220.83333,0 ,0
2017-01-20,21700,22200,20600,20700,196233,-0.050458716,21890,23390,23177.5,21491.66667,24127.08333,0 ,0
2017-01-23,20750,21350,20650,20950,95357,0.012077295,21550,22845,23292.5,21501.66667,24039.58333,0 ,0
2017-01-24,21300,21900,20400,20400,174520,-0.026252983,21220,22385,23392.5,21502.5,23952.08333,0 ,0
2017-01-25,20500,21000,20300,20400,60302,0,20850,21920,23442.5,21497.5,23853.75,0 ,0
2017-01-26,20750,20850,20150,20350,49897,-0.00245098,20560,21555,23485,21490,23758.33333,0 ,0
2017-01-31,20600,20750,19750,19750,74840,-0.029484029,20370,21130,23447.5,21475,23660,0 ,0
2017-02-01,19850,20400,19750,20350,66007,0.030379747,20250,20900,23132.5,21476.66667,23577.91667,0 ,0
2017-02-02,20350,20450,19750,19750,62175,-0.029484029,20120,20670,22785,21430.83333,23488.75,0 ,0
2017-02-03,19800,20100,19300,19600,62562,-0.007594937,19960,20405,22417.5,21387.5,23400.83333,0 ,0
2017-02-06,19100,20000,18350,19700,123117,0.005102041,19830,20195,22082.5,21369.16667,23307.91667,0 ,0
2017-02-07,19900,20200,19600,19750,39725,0.002538071,19830,20100,21745,21343.33333,23220,0 ,0
2017-02-08,19700,19850,19300,19750,31652,0,19710,19980,21412.5,21299.16667,23129.58333,0 ,0
2017-02-09,19950,20700,19750,20500,99776,0.037974684,19860,19990,21187.5,21270.83333,23043.75,0 ,0
2017-02-10,20350,20450,20050,20100,52258,-0.019512195,19960,19960,20940,21237.5,22963.33333,0 ,0
2017-02-13,20150,21950,20150,21800,303653,0.084577114,20380,20105,20830,21231.66667,22901.25,0 ,0
2017-02-14,21700,21800,21050,21300,106762,-0.02293578,20690,20260,20695,21217.5,22835.83333,0 ,0
2017-02-15,21450,22600,20550,20550,295859,-0.035211268,20850,20280,20590,21193.33333,22769.16667,0 ,0
2017-02-16,20600,21000,20550,20700,42137,0.00729927,20890,20375,20522.5,21171.66667,22705.41667,0 ,0
2017-02-17,20700,21100,20350,20700,53293,0,21010,20485,20445,21145,22642.08333,0 ,0
2017-02-20,20900,21450,20800,21250,58772,0.026570048,20900,20640,20417.5,21134.16667,22584.58333,0 ,0
2017-02-21,21300,21300,20850,21050,57920,-0.009411765,20850,20770,20435,21131.66667,22509.58333,0 ,0
2017-02-22,21350,21650,20950,21300,83901,0.011876485,21000,20925,20452.5,21125,22446.66667,0 ,0
2017-02-23,21350,21400,20800,20800,61713,-0.023474178,21020,20955,20472.5,21115,22377.91667,0 ,0
2017-02-24,20750,21050,20650,20650,40445,-0.007211538,21010,21010,20485,21105.83333,22297.08333,0 ,0
2017-02-27,20650,20750,20150,20200,47045,-0.021791768,20800,20850,20477.5,21100.83333,22215.41667,1 ,4
2017-02-28,20000,20350,19800,20000,37209,-0.00990099,20590,20720,20490,21095.83333,22141.25,1 ,26
2017-03-02,19950,20100,19600,19600,41822,-0.02,20250,20625,20452.5,21094.16667,22059.16667,1 ,2
2017-03-03,19250,20700,19250,20000,69116,0.020408163,20090,20555,20465,21119.16667,21982.91667,1 ,24
