Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,67000,68100,67000,67400,6493,-0.010279001,69920,70860,70490,69200,67301.66667,0,0
2017-01-03,67400,68100,65800,66300,29974,-0.016320475,68780,70320,70335,69201.66667,67330.83333,0,0
2017-01-04,66300,66500,64600,64600,43344,-0.025641026,67120,69580,70090,69163.33333,67335.83333,1,5
2017-01-05,64700,65200,64200,64800,29496,0.003095975,66240,68870,69850,69130,67344.16667,0,0
2017-01-06,64500,65300,64300,64900,11462,0.00154321,65600,68200,69595,69101.66667,67350,0,0
2017-01-09,65000,65300,64500,64800,9150,-0.001540832,65080,67500,69320,69065,67353.33333,0,0
2017-01-10,64800,64900,64200,64500,11581,-0.00462963,64720,66750,69000,69026.66667,67342.5,0,0
2017-01-11,64600,65900,64200,64400,14930,-0.001550388,64680,65900,68710,68981.66667,67329.16667,0,0
2017-01-12,64800,65100,64000,65000,17120,0.00931677,64720,65480,68485,68935,67319.16667,0,0
2017-01-13,65300,65700,64900,65500,7902,0.007692308,64840,65220,68235,68891.66667,67315,0,0
2017-01-16,65900,65900,64600,64900,9601,-0.009160305,64860,64970,67915,68820,67305.83333,0,0
2017-01-17,64900,65300,63700,64200,21719,-0.010785824,64800,64760,67540,68721.66667,67295.83333,-1,1
2017-01-18,64200,65500,63800,65500,20622,0.020249221,65020,64850,67215,68661.66667,67290,0,0
2017-01-19,64800,66000,64800,65900,11024,0.00610687,65200,64960,66915,68625,67286.66667,1,1
2017-01-20,65900,66800,65800,66500,11021,0.009104704,65400,65120,66660,68586.66667,67286.66667,1,1
2017-01-23,66800,66800,66100,66400,5738,-0.001503759,65700,65280,66390,68551.66667,67280.83333,0,0
2017-01-24,66800,66800,65400,66200,6388,-0.003012048,66100,65450,66100,68505,67272.5,0,0
2017-01-25,66600,66600,65800,66000,5675,-0.003021148,66200,65610,65755,68433.33333,67269.16667,0,0
2017-01-26,66200,66700,65800,66400,6756,0.006060606,66300,65750,65615,68386.66667,67276.66667,-1,3
2017-01-31,66100,67300,65800,66500,4430,0.001506024,66300,65850,65535,68336.66667,67273.33333,0,0
2017-02-01,66500,66900,65900,66800,4414,0.004511278,66380,66040,65505,68320,67268.33333,0,0
2017-02-02,67100,67100,65800,66100,6032,-0.010479042,66360,66230,65495,68295,67262.5,0,0
2017-02-03,66500,66500,65000,65300,9482,-0.012102874,66220,66210,65530,68240,67255.83333,0,0
