Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,4882,5172,4872,4998,4247,0,4982.8,5040.9,4958.55,4859.683333,4905.375,0,0
2017-01-03,4998,5056,4892,4921,3850,-0.015406162,4969.2,5020.6,4965.55,4857.1,4902.391667,0,0
2017-01-04,4901,4979,4892,4979,4996,0.011786222,4965.4,5000.3,4972.8,4853.866667,4899.808333,0,0
2017-01-05,4979,5008,4921,4960,1842,-0.003816027,4971.2,4977.1,4979.6,4849.516667,4897.391667,0,0
2017-01-06,4930,5008,4930,4998,29438,0.00766129,4971.2,4979,4995.05,4845.8,4895.933333,0,0
2017-01-09,5046,5046,4950,4998,3197,0,4971.2,4977,5003.95,4843.533333,4894.158333,0,0
2017-01-10,5075,5085,4988,5008,2241,0.0020008,4988.6,4978.9,5014.8,4844.333333,4891.983333,0,0
2017-01-11,5085,5085,5008,5076,4004,0.013578275,5008,4986.7,5024.5,4843.85,4890.375,0,0
2017-01-12,4988,5075,4988,5056,3761,-0.00394011,5027.2,4999.2,5030.75,4847.866667,4889.483333,0,0
2017-01-13,5056,5153,5027,5066,5295,0.001977848,5040.8,5006,5031.7,4852.7,4888.591667,0,0
2017-01-16,5037,5191,4988,5192,13396,0.024871694,5079.6,5025.4,5033.15,4860.033333,4888.916667,0,0
2017-01-17,5104,5327,5104,5327,39903,0.026001541,5143.4,5066,5043.3,4870.183333,4891.175,0,0
2017-01-18,5385,5385,5240,5337,12406,0.001877229,5195.6,5101.8,5051.05,4879.616667,4894.8,0,0
2017-01-19,5336,5404,5259,5289,7001,-0.008993817,5242.2,5134.7,5055.9,4889.933333,4898.591667,0,0
2017-01-20,5346,5346,5085,5144,11421,-0.02741539,5257.8,5149.3,5064.15,4898.966667,4901.7,0,0
2017-01-23,5027,5278,5027,5153,1235,0.001749611,5250,5164.8,5070.9,4907.833333,4904.558333,0,0
2017-01-24,5288,5288,5008,5008,5328,-0.028138948,5186.2,5164.8,5071.85,4919.183333,4906.091667,0,0
2017-01-25,4959,5104,4959,5047,6279,0.00778754,5128.2,5161.9,5074.3,4929.016667,4908.466667,0,0
2017-01-26,5172,5220,4998,5066,5587,0.003764613,5083.6,5162.9,5081.05,4940.05,4911.966667,0,0
2017-01-31,4988,5133,4959,5008,4008,-0.011448875,5056.4,5157.1,5081.55,4950.433333,4914.1,0,0
2017-02-01,4959,5104,4959,4960,7410,-0.009584665,5017.8,5133.9,5079.65,4955.75,4915.958333,0,0
2017-02-02,4911,4979,4814,4873,11630,-0.017540323,4990.8,5088.5,5077.25,4954.95,4917.85,0,0
2017-02-03,4795,4950,4795,4882,6362,0.001846912,4957.8,5043,5072.4,4954.133333,4919.5,0,0
2017-02-06,4843,4998,4790,4834,8159,-0.009832036,4911.4,4997.5,5066.1,4954.933333,4920.55,0,0
2017-02-07,4843,4969,4800,4834,5803,0,4876.6,4966.5,5057.9,4954.45,4920.225,0,0
2017-02-08,4834,5066,4805,4873,2150,0.008067853,4859.2,4938.5,5051.65,4953.966667,4920.308333,0,0
2017-02-09,4853,4911,4809,4863,2198,-0.002052124,4857.2,4924,5044.4,4953.166667,4921.516667,0,0
2017-02-10,4863,4959,4800,4805,12514,-0.011926794,4841.8,4899.8,5030.85,4952.683333,4923.366667,0,0
2017-02-13,4998,5220,4809,4931,12396,0.026222685,4861.2,4886.3,5024.6,4951.233333,4924.816667,0,0
2017-02-14,5008,5008,4814,4820,13797,-0.022510647,4858.4,4867.5,5012.3,4949.066667,4924.941667,0,0
2017-02-15,4785,4892,4780,4834,4846,0.002904564,4850.6,4854.9,4994.4,4948.266667,4925.75,0,0
2017-02-16,4834,4892,4800,4882,6934,0.009929665,4854.4,4855.8,4972.15,4949.95,4927.516667,0,0
2017-02-17,4809,4901,4809,4873,4720,-0.001843507,4868,4854.9,4948.95,4952.283333,4929.208333,0,0
2017-02-20,4819,4921,4766,4853,2989,-0.004104248,4852.4,4856.8,4927.15,4952.6,4930.975,0,0
2017-02-21,4853,4892,4795,4882,4044,0.005975685,4864.8,4861.6,4914.05,4953.716667,4933.108333,0,0
