Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,1749,1754,1719,1722,43914,0.004667445,1714.2,1710.7,1710.75,1795.1,1924.075,0,0
2017-01-03,1726,1726,1691,1704,38844,-0.010452962,1717.2,1710.7,1712.75,1790.666667,1920.941667,0,0
2017-01-04,1704,1706,1676,1682,57106,-0.012910798,1712.2,1708.5,1713.25,1786.783333,1917.733333,0,0
2017-01-05,1664,1726,1664,1702,44788,0.011890606,1704.8,1706.5,1714.75,1783.783333,1914.733333,0,0
2017-01-06,1701,1719,1674,1687,52148,-0.008813161,1699.4,1704,1714.65,1781.166667,1911.125,0,0
2017-01-09,1701,1701,1661,1682,32500,-0.002963841,1691.4,1702.8,1710.4,1778.466667,1907.266667,0,0
2017-01-10,1701,1704,1686,1704,25197,0.013079667,1691.4,1704.3,1709.5,1777.133333,1903.341667,0,0
2017-01-11,1706,1841,1706,1814,215786,0.064553991,1717.8,1715,1715.1,1777.883333,1900.191667,0,0
2017-01-12,1811,1857,1776,1852,69895,0.020948181,1747.8,1726.3,1722.25,1778.766667,1897.9,0,0
2017-01-13,1852,1852,1816,1827,89553,-0.01349892,1775.8,1737.6,1725.65,1779.316667,1895.483333,0,0
2017-01-16,1806,1857,1786,1832,47145,0.002736727,1805.8,1748.6,1729.65,1779.616667,1893.666667,0,0
2017-01-17,1831,1852,1816,1829,24137,-0.001637555,1830.8,1761.1,1735.9,1780.483333,1892.1,0,0
2017-01-18,1821,1869,1821,1834,39021,0.002733734,1834.8,1776.3,1742.4,1781.183333,1890.383333,0,0
2017-01-19,1841,1914,1841,1915,127986,0.044165758,1847.4,1797.6,1752.05,1783.45,1889.366667,0,0
2017-01-20,1894,2027,1894,1997,191066,0.042819843,1881.4,1828.6,1766.3,1787.033333,1889.008333,0,0
2017-01-23,2002,2014,1932,1947,86247,-0.025037556,1904.4,1855.1,1778.95,1789.783333,1888.508333,0,0
2017-01-24,1957,2002,1947,1980,67093,0.016949153,1934.6,1882.7,1793.5,1793.883333,1886.216667,0,0
2017-01-25,1997,1999,1914,1915,56258,-0.032828283,1950.8,1892.8,1803.9,1797.016667,1882.341667,0,0
2017-01-26,1914,1934,1877,1917,40035,0.001044386,1951.2,1899.3,1812.8,1801.433333,1878.75,0,0
2017-01-31,1917,1924,1859,1875,43079,-0.021909233,1926.8,1904.1,1820.85,1804.95,1874.541667,0,0
2017-02-01,1904,1999,1872,1995,114828,0.064,1936.4,1920.4,1834.5,1810.583333,1871.833333,0,0
2017-02-02,1994,2002,1959,1970,42888,-0.012531328,1934.4,1934.5,1847.8,1814.016667,1869.858333,0,0
2017-02-03,1984,1984,1914,1957,51612,-0.006598985,1942.8,1946.8,1861.55,1815.766667,1867.983333,0,0
2017-02-06,1957,1974,1914,1967,38183,0.005109862,1952.8,1952,1874.8,1817.983333,1865.016667,0,0
2017-02-07,1969,2127,1969,2122,293135,0.078800203,2002.2,1964.5,1896.55,1821.016667,1863.325,0,0
2017-02-08,2094,2142,2077,2127,93826,0.002356268,2028.6,1982.5,1918.8,1821.016667,1861.008333,0,0
2017-02-09,2114,2127,2064,2115,47055,-0.005641749,2057.6,1996,1939.35,1822.433333,1859.383333,0,0
2017-02-10,2114,2209,2102,2202,105457,0.041134752,2106.6,2024.7,1958.75,1825.383333,1859.275,0,0
2017-02-13,2214,2372,2212,2328,329253,0.057220708,2178.8,2065.8,1982.55,1830.4,1860.116667,0,0
2017-02-14,2340,2340,2284,2328,112689,0,2220,2111.1,2007.6,1836.333333,1862.016667,0,0
2017-02-15,2164,2197,2087,2087,715400,-0.103522337,2212,2120.3,2020.35,1838.783333,1862.85,1,1
2017-02-16,2087,2187,2057,2172,584084,0.040728318,2223.4,2140.5,2037.5,1843.283333,1864.391667,1,1
2017-02-17,2360,2377,2107,2137,1311281,-0.01611418,2210.4,2158.5,2052.65,1847.816667,1865.475,0,3
2017-02-20,2127,2134,2062,2070,234839,-0.031352363,2158.8,2168.8,2060.4,1851.916667,1866.25,0,0
2017-02-21,2072,2184,2069,2145,209205,0.036231884,2122.2,2171.1,2067.8,1857.633333,1867.833333,0,0
2017-02-22,2127,2204,2127,2185,169786,0.018648019,2141.8,2176.9,2079.7,1863.4,1870.4,0,0
2017-02-23,2199,2294,2152,2250,257601,0.029748284,2157.4,2190.4,2093.2,1869.866667,1873.508333,0,0
2017-02-24,2254,2347,2254,2328,280163,0.034666667,2195.6,2203,2113.85,1877.716667,1877.391667,1,1
2017-02-27,2327,2350,2269,2295,212345,-0.014175258,2240.6,2199.7,2132.75,1885.1,1880.458333,0,0
2017-02-28,2279,2322,2269,2310,256337,0.006535948,2273.6,2197.9,2154.5,1895.233333,1883.125,0,0
2017-03-02,2565,2590,2295,2295,1482350,-0.006493506,2295.6,2218.7,2169.5,1904.916667,1885.733333,0,0
