Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,11300,11400,11150,11350,104136,0.008888889,10900,10740,10483,11173.5,12282.16667,0,0
2017-01-03,11450,11500,11200,11300,86505,-0.004405286,11070,10825,10545.5,11157.66667,12281.33333,0,0
2017-01-04,11750,12350,11500,11500,674615,0.017699115,11240,10895,10618,11144.33333,12278.41667,0,0
2017-01-05,11500,11650,11300,11500,106423,0,11380,10980,10701.5,11129.33333,12270.08333,0,0
2017-01-06,11550,11800,11350,11450,106420,-0.004347826,11420,11075,10780,11110.16667,12259.25,0,0
2017-01-09,11450,11450,11200,11300,71675,-0.013100437,11410,11155,10832.5,11088.5,12237.16667,0,0
2017-01-10,11350,11500,11250,11350,87818,0.004424779,11420,11245,10875,11070.16667,12210.91667,0,0
2017-01-11,11400,11550,11100,11150,158120,-0.017621145,11350,11295,10910,11052.66667,12183.41667,0,0
2017-01-12,11200,11350,11050,11300,75887,0.013452915,11310,11345,10957.5,11033.5,12162.16667,0,0
2017-01-13,11300,11350,11100,11100,50298,-0.017699115,11240,11330,10990,11020.16667,12139.25,0,0
2017-01-16,11150,11500,11050,11150,120167,0.004504505,11210,11310,11025,11014.33333,12109.25,0,0
2017-01-17,11150,11250,10700,10900,204130,-0.022421525,11120,11270,11047.5,10986,12063.83333,0,0
2017-01-18,10900,11150,10850,10950,48630,0.004587156,11080,11215,11055,10963.5,12025.08333,0,0
2017-01-19,10950,11050,10500,10550,115932,-0.03652968,10930,11120,11050,10937.66667,11978,0,0
2017-01-20,10450,10550,10400,10450,48005,-0.009478673,10800,11020,11047.5,10911,11924.66667,0,0
2017-01-23,10500,10600,10300,10300,51437,-0.014354067,10630,10920,11037.5,10885.16667,11876.75,0,0
2017-01-24,10550,10950,10400,10650,247318,0.033980583,10580,10850,11047.5,10873.5,11832.16667,0,0
2017-01-25,10950,11450,10600,10600,496644,-0.004694836,10510,10795,11045,10858.5,11781.33333,0,0
2017-01-26,10650,10750,10400,10600,100787,0,10520,10725,11035,10855.16667,11739.66667,0,0
2017-01-31,10650,10900,10650,10850,89291,0.023584906,10600,10700,11015,10853.5,11700.08333,0,0
2017-02-01,10750,10950,10700,10900,62128,0.004608295,10720,10675,10992.5,10852.66667,11664.66667,0,0
2017-02-02,10800,10900,10450,10500,98076,-0.036697248,10690,10635,10952.5,10836,11625.5,0,0
2017-02-03,10500,10700,10450,10550,51079,0.004761905,10680,10595,10905,10820.16667,11585.91667,0,0
2017-02-06,10600,10700,10500,10500,47256,-0.004739336,10660,10590,10855,10813.5,11547.16667,0,0
2017-02-07,10550,10600,10250,10350,86356,-0.014285714,10560,10580,10800,10799.33333,11509.25,1,1
2017-02-08,10350,10350,10050,10150,131359,-0.019323671,10410,10565,10742.5,10781.83333,11474.66667,1,1
2017-02-09,10100,10300,10100,10250,74968,0.009852217,10360,10525,10687.5,10762.66667,11430.5,0,0
2017-02-10,10250,10300,10050,10100,95628,-0.014634146,10270,10475,10635,10739.33333,11395.08333,0,0
2017-02-13,10100,10200,10050,10150,44994,0.004950495,10200,10430,10577.5,10716,11364.66667,0,0
2017-02-14,10200,10350,10150,10300,87196,0.014778325,10190,10375,10537.5,10698.5,11335.5,1,1
2017-02-15,10250,10400,10200,10300,84041,0,10220,10315,10495,10676,11305.91667,0,0
2017-02-16,10400,10400,10150,10200,102534,-0.009708738,10210,10285,10460,10659.33333,11275.08333,0,0
2017-02-17,10150,10250,10100,10150,77981,-0.004901961,10220,10245,10420,10641.83333,11246.33333,0,0
2017-02-20,10200,10350,10200,10350,73807,0.019704433,10260,10230,10410,10630.16667,11215.5,0,0
2017-02-21,10300,10600,10300,10500,119562,0.014492754,10300,10245,10412.5,10628.5,11187.58333,1,1
2017-02-22,10500,10650,10400,10550,105113,0.004761905,10350,10285,10425,10626.83333,11170.5,0,0
2017-02-23,10550,10750,10400,10650,170526,0.009478673,10440,10325,10425,10623.5,11153.41667,0,0
2017-02-24,10800,10850,10400,10400,118523,-0.023474178,10490,10355,10415,10616.83333,11139.66667,1,1
2017-02-27,10450,10500,10350,10450,38534,0.004807692,10510,10385,10407.5,10611,11125.08333,0,0
2017-02-28,10450,10550,10200,10300,117130,-0.014354067,10470,10385,10380,10606.83333,11110.5,0,0
2017-03-02,10300,10350,10150,10200,41815,-0.009708738,10400,10375,10345,10606.83333,11093.41667,0,0
2017-03-03,10200,10300,9990,10300,134046,0.009803922,10330,10385,10335,10611,11079.25,0,0
2017-03-06,10200,10400,10150,10400,47873,0.009708738,10330,10410,10327.5,10616.83333,11070.91667,1,1
2017-03-07,10300,10400,10200,10250,54983,-0.014423077,10290,10400,10315,10623.83333,11059.25,0,0
2017-03-08,10250,10600,10200,10600,97965,0.034146341,10350,10410,10327.5,10635.83333,11051.75,0,0
2017-03-09,10600,10600,10450,10450,31114,-0.014150943,10400,10400,10342.5,10639.16667,11047.16667,0,0
2017-03-10,10550,10650,10300,10600,63644,0.014354067,10460,10395,10360,10640.83333,11045.5,0,0
