Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,7780,7880,7680,7880,85380,0.020725389,7692,7560,7251.5,7205.333333,7776.5,0,0
2017-01-03,7880,7920,7830,7880,98854,0,7794,7602,7313.5,7203.333333,7778.166667,0,0
2017-01-04,7880,7950,7770,7840,75369,-0.005076142,7826,7651,7371.5,7203.666667,7778.75,0,0
2017-01-05,7900,8140,7660,8070,248384,0.029336735,7878,7718,7442,7207.666667,7781.083333,0,0
2017-01-06,8070,8200,7950,7970,149882,-0.012391574,7928,7767,7503.5,7212,7783.583333,0,0
2017-01-09,7940,8000,7700,7790,90409,-0.022584693,7910,7801,7553,7213,7780.5,0,0
2017-01-10,7680,7870,7650,7840,94941,0.006418485,7902,7848,7591.5,7215.166667,7777.666667,0,0
2017-01-11,7800,7900,7790,7810,66013,-0.003826531,7896,7861,7620,7216.333333,7775.666667,0,0
2017-01-12,7810,7830,7720,7760,60238,-0.006402049,7834,7856,7645.5,7213.166667,7773.166667,0,0
2017-01-13,7730,7880,7700,7760,94944,0,7792,7860,7673.5,7214.333333,7770.416667,0,0
2017-01-16,7790,7840,7670,7700,98385,-0.007731959,7774,7842,7701,7220.833333,7767.333333,0,0
2017-01-17,7650,7830,7610,7700,87858,0,7746,7824,7713,7228.666667,7762.916667,0,0
2017-01-18,7650,7920,7650,7860,232389,0.020779221,7756,7826,7738.5,7239,7761.333333,0,0
2017-01-19,7910,8430,7910,8430,1096176,0.072519084,7890,7862,7790,7262,7767.25,0,0
2017-01-20,8380,8440,8220,8250,417093,-0.021352313,7988,7890,7828.5,7279.666667,7771.166667,0,0
2017-01-23,8230,8520,8130,8210,361175,-0.004848485,8090,7932,7866.5,7297.166667,7775.75,0,0
2017-01-24,8240,8450,8120,8150,309257,-0.007308161,8180,7963,7905.5,7318.5,7778.166667,0,0
2017-01-25,8200,8510,8140,8430,358510,0.034355828,8294,8025,7943,7344.666667,7783.333333,0,0
2017-01-26,8470,8650,8420,8450,234995,0.002372479,8298,8094,7975,7373.666667,7789.333333,0,0
2017-01-31,8420,8420,8230,8420,235502,-0.003550296,8332,8160,8010,7400,7792.833333,0,0
2017-02-01,8420,8420,8250,8290,217271,-0.01543943,8348,8219,8030.5,7423,7792,0,0
2017-02-02,8230,8290,7850,7850,250118,-0.053075995,8288,8234,8029,7436.333333,7784.083333,0,0
2017-02-03,7790,7910,7380,7510,426677,-0.043312102,8104,8199,8012.5,7443.333333,7773.166667,0,0
2017-02-06,7530,7690,7460,7580,99552,0.009320905,7930,8114,7988,7457,7763.416667,0,0
