Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2017-01-02,60000,61800,60000,61500,24775,0.014851485,60760,60840,61110,63753.33333,66605.83333,0,0
2017-01-03,62000,63900,61400,62800,155502,0.021138211,61220,61000,61295,63696.66667,66611.66667,0,0
2017-01-04,62500,63600,61500,62600,94676,-0.003184713,61540,61200,61440,63618.33333,66610.83333,0,0
2017-01-05,62500,62900,61300,62600,53720,0,62020,61400,61560,63498.33333,66614.16667,0,0
2017-01-06,63200,63200,61700,61800,49093,-0.012779553,62260,61520,61525,63400,66623.33333,0,0
2017-01-09,61400,61800,59900,60400,63244,-0.022653722,62040,61400,61405,63275,66626.66667,0,0
2017-01-10,60000,61200,59900,61000,39850,0.009933775,61680,61450,61330,63178.33333,66653.33333,0,0
2017-01-11,60600,61000,59700,59700,64648,-0.021311475,61100,61320,61230,63055,66668.33333,1,1
2017-01-12,59600,60300,58400,60200,53418,0.008375209,60620,61320,61140,62968.33333,66680.83333,0,0
2017-01-13,60300,60600,59400,59700,35798,-0.008305648,60200,61230,61020,62900,66691.66667,0,0
2017-01-16,59700,60400,59400,59900,29388,0.003350084,60100,61070,60955,62816.66667,66704.16667,0,0
2017-01-17,60200,61200,59400,60200,52910,0.005008347,59940,60810,60905,62743.33333,66718.33333,0,0
2017-01-18,60700,64900,60300,64000,135001,0.063122924,60800,60950,61075,62736.66667,66762.5,0,0
2017-01-19,64000,66900,64000,65900,135352,0.0296875,61940,61280,61340,62755,66806.66667,0,0
2017-01-20,65400,66600,64500,65600,32811,-0.004552352,63120,61660,61590,62780,66827.5,1,1
2017-01-23,65600,66300,64700,65000,33555,-0.009146341,64140,62120,61760,62768.33333,66844.16667,0,0
2017-01-24,64200,65000,62600,64000,41801,-0.015384615,64900,62420,61935,62703.33333,66852.5,1,2
2017-01-25,64800,64800,61900,62100,39939,-0.0296875,64520,62660,61990,62615,66842.5,0,0
2017-01-26,62600,62600,60500,61300,42166,-0.012882448,63600,62770,62045,62526.66667,66797.5,0,0
2017-01-31,61300,61400,59900,60400,25284,-0.014681892,62560,62840,62035,62406.66667,66730,0,0
